I-mV,II-mV,V1-mV
4.368793366479478,4.380054436925318,4.35577108596391
4.368325297136622,4.379716186506521,4.356143233546211
4.367743275627093,4.379398851358822,4.355467453924862
4.367799530494184,4.379504870146803,4.355377301894266
4.3676762025163285,4.379028867425255,4.355959323403795
4.367889682524781,4.378942321475883,4.35547033878984
4.367497340887627,4.37906132215627,4.354895529442759
4.367637256839112,4.378744708224816,4.354766431734945
4.367147551008912,4.378227596177315,4.355437884058826
4.367607686973076,4.3784179972659345,4.355247482970206
4.36720308465976,4.378247790232169,4.35511333674868
4.36617030299725,4.377258281544345,4.354658970514475
4.368993864595524,4.37978109596855,4.355561212036681
4.368024549962553,4.378950976070819,4.354891923361535
4.368656335392973,4.379055552426311,4.3546892615967545
4.36814355064294,4.378741823359836,4.354957554039808
4.3683014970005445,4.378845678499083,4.355792722451253
4.368551037821235,4.379229365541301,4.3551457914796945
4.367765633330681,4.378571616326071,4.355790558802519
4.368101720100744,4.378941600259638,4.3551205489111275
4.367813954819081,4.378402851724794,4.355570587847864
4.367608408189321,4.378425209428382,4.3557018492044115
4.3678666036049485,4.378604071057086,4.355880710833115
4.368101720100744,4.379144262024418,4.355949947592613
4.367751209005785,4.37874831430604,4.35694594722664
4.367752651438275,4.378733889981144,4.356185785304652
4.368157974967835,4.378888230257525,4.356048033001901
4.368399582409833,4.379072861616185,4.356249252334192
4.368539498361319,4.378833417822922,4.355477550952289
4.368000749826476,4.378641574301813,4.355296525674851
4.368121914155597,4.378457664159397,4.3554111990577695
4.368455116060681,4.3787605749822,4.355013087690656
4.3682748119994885,4.378458385375641,4.355406871760301
4.368639026203097,4.378917078907316,4.355648479202299
4.367824773062751,4.3784165548334455,4.355961487052529
4.368450067546967,4.37924739594742,4.355510726899548
4.368316642541685,4.378945206340862,4.355864122859486
4.368189708482606,4.379030309857744,4.356248531117948
4.368390206598652,4.379193304729062,4.355308786351012
4.368452952411946,4.379432748522326,4.3566632304586905
4.368587819849719,4.37934115405924,4.356286034362675
4.369053725543839,4.379734938128885,4.3561367426000075
4.368670038501622,4.37959357974491,4.356408641124286
4.3684435766007645,4.379919569487546,4.35647715666754
4.368325297136622,4.379727725966436,4.355977353809914
4.368367848895065,4.379566894743853,4.355104682153742
4.368256060377124,4.379571222041322,4.35512559742484
4.367260781959342,4.378940879043393,4.355366483650594
4.365277437286224,4.376806078958873,4.35591172313164
4.365560875270418,4.375793491351216,4.355998269081012
4.3764404223227755,4.385732572420393,4.349017617047883
4.393172639201441,4.398047339799842,4.346988114535099
4.387581770871982,4.394282591002142,4.352035185816001
4.3756579026972,4.38557029876532,4.357060620609558
4.370320181269657,4.38135046251717,4.357625332929214
4.369428757991121,4.380386917614157,4.35628675557892
4.368763796613442,4.379904423946406,4.356633660592655
4.367889682524781,4.379352693519157,4.356488696127456
4.367053792897092,4.3789250122860075,4.354516890914255
4.367092017358066,4.378821878363006,4.355476108519799
4.367628602244174,4.379207007837714,4.355403986895322
4.368226490511089,4.379522179336678,4.355425623382665
4.367746160492072,4.379149310538131,4.355482599466002
4.367636535622867,4.379357020816625,4.35610212422026
4.367699281436162,4.379301487165779,4.356273773686514
4.368422661329666,4.379884229891552,4.356205979359506
4.368618110931999,4.379796962725934,4.355177524994464
4.369076804463672,4.379917405838811,4.354386350773951
4.368297169703077,4.37965271947698,4.353444442358281
4.368603686607104,4.37960728285356,4.354552230510248
4.369262878254823,4.379858266106741,4.354931590254997
4.368455837276925,4.379066370669983,4.354361829421629
4.368404630923547,4.3791175770233615,4.354025742651566
4.368760911748463,4.379625313259679,4.353722110612518
4.368865488103955,4.3794558274421584,4.35365287385302
4.368477473764269,4.37931086297696,4.35396588170325
4.368090180640827,4.379253165677378,4.354575309430081
4.367992095231539,4.378770672009627,4.354407266045049
4.367341558178756,4.3786350833556105,4.354780134843596
4.367093459790555,4.37825860847584,4.354684213083042
4.367195872497312,4.378477136998006,4.355258301213879
4.3672881881766425,4.37905987972378,4.354728207273972
4.367363194666099,4.3787548052522425,4.354536363752864
4.36756441399839,4.378946648773351,4.354741910382623
4.367651681164007,4.379318796355652,4.354373368881546
4.3677944819804715,4.379207729053958,4.354498860508135
4.367513207645011,4.378787259983256,4.355088094180113
4.367873815767396,4.379106037563445,4.355375138245531
4.3677908758992485,4.378936551745924,4.355360713920636
4.3674562315616745,4.37907358283243,4.355735025151671
4.367371128044791,4.378800241875663,4.355934080835228
4.367291073041622,4.37855935564991,4.355620351768753
4.367318479258923,4.37824490536719,4.354518333346744
4.367465607372856,4.378833417822922,4.355328980405866
4.367839918603892,4.378958909449512,4.35600692367595
4.368045465233652,4.379144983240662,4.356614908970291
4.367756257519499,4.378718744440004,4.357406083190804
4.3685178618739755,4.378781490253298,4.356746891543083
4.368640468635586,4.3795510279864684,4.356871661953429
4.367125914521569,4.379063485805004,4.357312325078984
4.367046580734645,4.37830548753175,4.356584617888011
4.367724524004728,4.379125510402053,4.355055639449098
4.367249242499425,4.378583877002232,4.35508016080142
4.3681312899667795,4.3789978551267295,4.3556542489322565
4.368224326862355,4.379033915938968,4.356084815030385
4.367933676715712,4.379097382968508,4.356265840307822
4.365798876631192,4.376967631397702,4.356908443981912
4.365391389452898,4.375445143904992,4.356886086278324
4.375845418920839,4.384851967385528,4.351961621759034
4.391797279822664,4.396647459068743,4.349394813143897
4.389463424054588,4.394811242509558,4.3521613986588354
4.376352433940913,4.386160253653541,4.356960371551535
4.368025992395043,4.379576270555035,4.3554595205461695
4.368277696864467,4.379661374071918,4.355657133797236
4.367738948329624,4.379341875275485,4.355250367835185
4.367631487109153,4.379066370669983,4.355687424879516
4.366984556137594,4.378870199851405,4.355588618253982
4.367226884795837,4.378812502551823,4.354646709838313
4.367040811004687,4.378763459847179,4.354379138611503
4.367025665463546,4.378704320115109,4.354598388349913
4.367857227793767,4.378795914578194,4.354314950365719
4.367681972246287,4.378700714033885,4.354982075392131
4.367723081572239,4.378819714714272,4.355494138925918
4.368188987266361,4.378795914578194,4.355905232185437
4.36782910036022,4.378676913897807,4.355621072984998
4.368248848214677,4.379298602300799,4.355517939061995
4.368145714291675,4.379203401756489,4.354764989302455
4.368177447806445,4.3792134987839155,4.354743352815112
4.368225769294844,4.379170947025474,4.354887596064066
4.368100998884499,4.379549585553979,4.353804329264422
4.367746160492072,4.379198353242776,4.354847207954359
4.367851458063808,4.379399572575067,4.355010202825677
4.367499504536361,4.379016606749094,4.356072554354224
4.3669982592462455,4.378718023223758,4.356506005317331
4.368628207959426,4.380380426667954,4.356143233546211
4.368688068907741,4.38031335355719,4.356870219520939
4.367899058335963,4.379558240148915,4.354851535251828
4.367767075763171,4.37985970853923,4.353132876940541
4.367348049124959,4.379802011239648,4.355773970828889
4.367547104808516,4.379523621769167,4.355590781902717
4.367415843451967,4.379578434203769,4.355263349727592
4.366857622078515,4.379549585553979,4.355007317960698
4.367181448172417,4.3790714191836955,4.354922214443815
4.367135290332752,4.378896163636217,4.354467126993366
4.367925022120775,4.379499100416845,4.3544000538826015
4.3672139029034325,4.379340432842995,4.354229125632592
4.368293563621853,4.3800082790856525,4.354799607682205
4.367403582775807,4.37953155514786,4.354224798335123
4.367212460470942,4.37937577243899,4.354080555086169
4.367787991034269,4.379605119204826,4.353951457378355
4.366520814092207,4.37855935564991,4.354715946597811
4.367139617630221,4.378910587961112,4.354704407137895
4.367300448852804,4.379413275683717,4.354454866317204
4.366824446131256,4.378906981879888,4.355139300533491
4.368150762805388,4.3803450870719605,4.354828456331996
4.367301170069049,4.379636852719596,4.355410477841525
4.367393485748379,4.379851775160537,4.356056687596839
4.3673906008834,4.379455106225914,4.356500235587372
4.367808906305367,4.379893605702734,4.3573130462952285
4.367743996843338,4.379298602300799,4.357257512644381
4.367592541431936,4.378984873234324,4.356485090046232
4.36563516054363,4.376053129199334,4.357403919542069
4.365015635789373,4.375389610254145,4.356331470986096
4.368642632284321,4.378584598218477,4.354783019708575
4.384001653432945,4.392041050913396,4.349754700050038
4.393981843828072,4.397601628160573,4.351854160538563
4.382152454981354,4.389705752712831,4.354892644577779
4.372167216072512,4.382474838642767,4.358167687545281
4.3693826001514555,4.379764507994921,4.357326749403879
4.3677836637368,4.378684126060255,4.3570065293912
