I-mV,II-mV,V1-mV
4.382376753233477,4.384840427925612,4.35575594042277
4.382239000930727,4.3848483613043046,4.355574193929088
4.382091872816794,4.384637766160832,4.356282428281451
4.382306795257735,4.384905337387641,4.355802819478679
4.38225775255309,4.384998374283216,4.356044426920678
4.382308958906469,4.384890913062746,4.356180015574695
4.382195006739795,4.384778403328562,4.356092748409077
4.382241164579461,4.385026501716763,4.355977353809914
4.382291649716595,4.384989719688279,4.356247809901703
4.382316171068917,4.385081314151365,4.355657133797236
4.382005326867421,4.384893797927725,4.355790558802519
4.382388292693394,4.385014241040602,4.355812195289861
4.382218085659628,4.384967361984692,4.355608812308836
4.3822959770140635,4.38490822225262,4.355592945551451
4.382382522963436,4.384888749414012,4.355830946912226
4.382269292013007,4.384954380092285,4.35532970162211
4.382129376061521,4.384694742244168,4.355595830416431
4.382283716337902,4.384670220891846,4.355538854333093
4.382526044996145,4.384854852250507,4.355649921634789
4.3824394990467725,4.385022895635538,4.355949226376368
4.382663076082651,4.384972410498405,4.356418016935468
4.382366656206051,4.384870719007892,4.356430998827874
4.382648651757756,4.385110884017401,4.3564475868015045
4.382461135534116,4.38511376888238,4.356684866946034
4.3827070702735815,4.385128193207275,4.35628531314643
4.382710676354805,4.385150550910863,4.3560631785430415
4.38221231592967,4.384845476439325,4.355936244483962
4.379518573255454,4.382551287564712,4.356757709786756
4.378531949432608,4.380378263019219,4.356997153580019
4.390250270977632,4.388822262812988,4.352721062464777
4.391759055361692,4.391969650505164,4.356221846116892
4.386098229056491,4.387239193155717,4.356531247885898
4.384259127632327,4.38592874323897,4.355750891909056
4.383219133807369,4.385172908614451,4.355914607996619
4.382953005013049,4.384950774011062,4.355499187439631
4.38263566986535,4.384947167929838,4.355401102030343
4.382452480939178,4.384773354814849,4.3552900347286485
4.382381080530946,4.384844755223081,4.355144349047205
4.382404159450779,4.38497168928216,4.355076554720196
4.382239722146971,4.384813742924555,4.355173197696995
4.381998835921218,4.3846327176471185,4.355496302574653
4.382109903222912,4.384662287513154,4.35534773202823
4.382251982823132,4.384735130353875,4.355649921634789
4.3824012745858,4.38464353589079,4.35555327865799
4.382451038506689,4.384504341155549,4.35577108596391
4.382332037826301,4.384387504123896,4.35558212730778
4.382490705400151,4.384231721415026,4.355721322043021
4.3824669052640735,4.384025453569022,4.355485484330981
4.382660912433916,4.3841733028992,4.35501813620437
4.382733034058393,4.3841019024909675,4.354639497675866
4.383143406101667,4.384410583043729,4.3541591676568485
4.383284764485643,4.384597378051124,4.353673067907874
4.383412419760967,4.384825282384472,4.3535555096599765
4.383439104762024,4.3850834778001,4.353730765207455
4.383161436507788,4.385179399560654,4.354227683200103
4.382727264328436,4.385125308342297,4.354541412266577
4.382643603244043,4.385147666045884,4.354731092138952
4.382583021079482,4.385279648618677,4.354858747414276
4.382457529452892,4.385295515376062,4.355057081881587
4.38221520079465,4.3855263045743875,4.354982796608375
4.382261358634314,4.385350327810665,4.355189785670625
4.38224260701195,4.385298400241041,4.355336192568314
4.382267128364273,4.385273157672474,4.355437162842581
4.3826111485130275,4.385508274168269,4.355168870399527
4.382445268776731,4.385191660236815,4.355552557441744
4.382748179599534,4.385274600104964,4.355270561890039
