I-mV,II-mV,V1-mV
4.380318402070904,4.3827460159508,4.357064226690783
4.380363838694325,4.382947956499335,4.356310555714997
4.380230413689041,4.382740246220841,4.356793770598994
4.380350135585673,4.382919107849545,4.356239155306765
4.380420814777661,4.382814531494053,4.3570519660146205
4.380617706812483,4.383073448125925,4.356203815710772
4.380250607743895,4.3828491498738025,4.357164475748806
4.380422978426395,4.383053975287316,4.357203421426023
4.380246280446427,4.3828513135225355,4.357670769552634
4.380350856801918,4.383051090422338,4.357178178857456
4.380386196397912,4.383009259880141,4.357164475748806
4.380464087752347,4.383103739208206,4.356976238308921
4.380021982194304,4.38271428243603,4.357054129663356
4.378586040650966,4.381591348742923,4.358195093762582
4.377830206026447,4.379399572575067,4.358723745269999
4.38545851024738,4.383963428971971,4.352196017038584
4.400956004914999,4.396974170027624,4.348225000394881
4.3999520719022795,4.395891624444223,4.35267923192258
4.388237356438479,4.388885729842527,4.358118644840636
4.383268897728258,4.384913270766334,4.35680531005891
4.3816461611775255,4.3834758867905075,4.357734236582174
4.381028078855758,4.383203988266229,4.356965420065249
4.380498706132096,4.382698415678645,4.357558981034694
4.380558567080412,4.382854198387515,4.357028165878544
4.380342923423226,4.382505129725047,4.35751138076254
4.380432354237577,4.382733755274639,4.356756988570511
4.3803688872080375,4.382530372293613,4.357179621289945
4.380409275317745,4.382629900135392,4.3562312219280726
4.380352299234408,4.382429402019346,4.357705387932383
4.3804085541015,4.382579414998258,4.356903395468199
4.380484281807202,4.382433729316814,4.357540229412331
4.3805859732977135,4.382544075402264,4.3568817589808555
4.380547027620495,4.382366656206051,4.357249579265688
4.3806826162745125,4.3824178625594294,4.3568074737076445
4.380812435198571,4.382472674994031,4.357317373592696
4.380997066557232,4.382490705400151,4.356922868306808
4.381179534267159,4.382281552689168,4.357296458321598
4.381320892651135,4.382567154322096,4.356750497624308
4.381222086025601,4.382473396210276,4.357075044934454
4.380999230205966,4.382822464872746,4.356172082196002
4.380694876950674,4.382645045676532,4.3567620370842235
4.380817483712285,4.383103739208206,4.356116548545154
4.380303256529763,4.382818137575277,4.356744006678104
4.380353741666897,4.383175139616438,4.356079766516671
4.380149637469628,4.3829219927145235,4.356733188434433
4.3802989292322945,4.382984738527819,4.356758431003
4.379971497057169,4.3823933412071066,4.357207027507247
4.380631409921134,4.383304237324252,4.356456241396441
4.380542700323027,4.383105902856941,4.356602648294129
4.380504475862055,4.382852034738781,4.356481483965009
4.380432354237577,4.382810925412829,4.356622842348983
4.38050375464581,4.383063351098499,4.355986008404852
4.380487887888425,4.382951562580559,4.356416574502979
4.38065809492219,4.383009259880141,4.356288919227655
4.3803205657196385,4.382854198387515,4.356770691679161
4.380640785732316,4.383147733399136,4.356141069897476
4.380371772073016,4.382855640820004,4.356822619248785
4.380558567080412,4.382985459744063,4.356118712193889
4.380491493969648,4.383015029610099,4.356676212351096
4.380548470052985,4.383132587857997,4.356035772325741
4.380500148564586,4.383069842044701,4.35647427180256
4.380463366536103,4.383051090422338,4.35616126395233
4.3803450870719605,4.383046763124869,4.356144675978701
4.380528997214377,4.38315566677783,4.355648479202299
4.380619870461218,4.382929204876971,4.356178573142205
4.380521785051929,4.383080660288374,4.355832389344715
4.380449663427452,4.3827568341944705,4.356407919908042
4.3804907727534035,4.38302584785377,4.355750891909056
4.38026791693377,4.383034502448708,4.356107893950218
4.380532603295601,4.383178745697662,4.355986729621096
4.380236183419,4.382894586497223,4.356675491134852
4.380496542483362,4.383131145425507,4.35608409381414
4.38031623842217,4.382898913794691,4.35677501897663
4.380348693153183,4.382968150554189,4.3557746920451335
4.380284504907399,4.382799385952913,4.356511053831044
4.380485003023446,4.383196776103781,4.355522987575709
4.380389081262891,4.382860689333718,4.356487974911211
4.380594627892651,4.38340376516603,4.356169197331023
4.380567942891593,4.383049647989847,4.356595436131682
4.380469857482305,4.383319382865392,4.355977353809914
4.380436681535046,4.382988344609043,4.35664808491755
4.380421535993906,4.38335688611012,4.356648806133794
4.380165504227012,4.38301070231263,4.3570512447983765
4.380473463563529,4.383447759356961,4.35620958544073
4.380420093561416,4.383108066505674,4.356659624377467
4.378762738630934,4.381973593352651,4.357201978993533
4.377396755063341,4.380192189228069,4.357439980354307
4.380576597486531,4.381166552374753,4.35628675557892
4.396519082577174,4.34882216744555,4.347953823086847
4.405286187248599,4.401499080747311,4.349240472867517
4.393270724610729,4.391829734553679,4.357070717636986
4.38440914061124,4.386380945824441,4.356643036403836
4.382258473769335,4.384207921278948,4.356411525989266
4.381221364809356,4.383779518829555,4.355853304615813
4.380435960318802,4.383028011502505,4.3564490292339935
4.380347971936939,4.383060466233519,4.35613097287005
4.380035685302953,4.382780634330548,4.356430998827874
4.3800804007101295,4.382758997843206,4.355981681107383
4.37992029070379,4.382613312161762,4.35655576923822
4.380109970576165,4.383004932582672,4.355929032321515
4.380040733816667,4.3827063490573375,4.356304064768795
4.380306141394743,4.382942186769378,4.3561107788151965
4.380234019770265,4.382506572157536,4.356808194923889
4.380510245592013,4.382950841364314,4.35603721475823
4.380358068964366,4.382310401338959,4.356562260184422
4.3805628943778805,4.382630621351637,4.356513217479778
4.380520342619439,4.382548402699733,4.356594714915437
4.380698483031898,4.382553451213447,4.356547114643282
4.380534045728091,4.382174812684942,4.356750497624308
4.38089537506672,4.382570039187076,4.356252137199172
4.3807770956025776,4.382404880667024,4.356455520180196
4.381172322104712,4.38279001014173,4.356073996786713
4.38116006142855,4.382742409869576,4.356118712193889
4.381162225077285,4.382912616903342,4.356022069217089
4.380968217907442,4.382880883388571,4.35622617341436
4.380798732089921,4.3832602431333205,4.356057408813084
4.380569385324083,4.3831621577240325,4.356238434090521
4.380514572889481,4.383426844085863,4.35605091786688
4.380187140714356,4.383061908666009,4.3562788222002276
4.3802455592301826,4.383202545833739,4.356210306656974
4.380348693153183,4.383131866641752,4.356304064768795
4.380121510036082,4.383143406101667,4.356270888821536
4.380104200846207,4.383053975287316,4.356265840307822
4.38026791693377,4.383055417719806,4.356273773686514
4.380402784371541,4.3832609643495655,4.356004038810971
4.380324171800861,4.383131145425507,4.356117269761399
4.380357347748121,4.38312104839808,4.356169918547267
4.38054774883674,4.38330856462172,4.356160542736085
4.380691270869449,4.383415304625946,4.356049475434391
4.380544142755517,4.383408092463498,4.356262234226598
4.3806104946500355,4.383429007734597,4.356152609357394
4.380733822627891,4.3834535290869185,4.35605236029937
4.380646555462274,4.383457856384387,4.356058851245573
4.380572991405307,4.383371310435015,4.356001153945991
4.380568664107838,4.383400880301051,4.355993941783543
4.380671798030841,4.383552335712452,4.356062457326797
4.380580203567756,4.38346867462806,4.355921820159066
4.380677567760799,4.383626620985663,4.356220403684401
4.380733101411646,4.383555941793676,4.356122318275113
4.3808989811479435,4.38365763328419,4.356089863544098
4.380769162223885,4.383581184362243,4.356133857735029
4.380741756006583,4.383582626794733,4.356199488413303
4.380734543844136,4.383485983817933,4.35620958544073
4.380710022491814,4.383651142337985,4.355579963659046
4.380655210057211,4.38332371016286,4.355703291636901
4.380693434518184,4.383586954092202,4.355218634320416
4.3808766234443555,4.383572529767306,4.355414083922748
4.380932878311448,4.383561711523635,4.355948505160123
4.380735265060381,4.383490311115402,4.356099960571525
4.380563615594125,4.383370589218771,4.356384119771964
4.380539815458048,4.383321546514126,4.3565932724829475
4.380650882759743,4.3833871771924,4.356785837220301
4.38067612532831,4.383407371247253,4.356594714915437
4.3806573737059455,4.383457856384387,4.3566877518110125
4.380654488840967,4.383425401653373,4.356653133431263
4.379470251767055,4.382479165940235,4.357474598734057
4.378796635794439,4.381279783325182,4.357375070892278
4.381413208330464,4.381690155368457,4.35580137704619
4.394511937767978,4.391548460218218,4.349363079629128
4.4008716226143605,4.397086679761808,4.350396582507883
4.39209297848302,4.392333864708773,4.3555554423067235
4.385441201057506,4.38653961339829,4.358259282008366
4.38288521068604,4.384782009409786,4.3573894952171734
4.381845216861081,4.3837658157209045,4.357020953716097
4.381416093195444,4.383553056928697,4.356830552627477
4.380939369257651,4.383053254071071,4.357011577904914
4.380772047088864,4.382909732038362,4.357155099937623
4.380870132498153,4.383051811638583,4.3572185669671635
4.380978314934868,4.383053254071071,4.357139233180238
4.380917011554064,4.3830676783959674,4.35714860899142
4.381009327233393,4.3830662359634776,4.357163754532561
4.38098913317854,4.383052532854827,4.357063505474538
4.381060533586772,4.383012865961365,4.356715879244558
4.381062697235507,4.382999162852713,4.3566877518110125
4.3812119889981735,4.383033781232463,4.356885365062079
4.381261031702818,4.382909010822117,4.356918541009339
4.381274013595224,4.382787846492997,4.356966862497739
4.381524996848404,4.382771979735611,4.357138511963994
4.3816468823937695,4.3826832701375045,4.357210633588471
4.381771652804115,4.3828758348748575,4.357027444662299
4.381888489835768,4.382843380143844,4.356976238308921
4.381930320377965,4.382884489469795,4.356945226010395
4.3818603624022225,4.383036666097442,4.35677213411165
4.381800501453906,4.383134030290486,4.3568572376285335
4.381582694147985,4.383191727590068,4.3569308016855
4.381455038872661,4.3833799650299525,4.356999317228753
4.3810194242608205,4.383157109210319,4.357126972504077
4.380854986957012,4.383084266369597,4.35722577912961
4.3808744597956215,4.383049647989847,4.357130578585301
4.380907635742881,4.383215527726145,4.35696397763276
4.380903308445412,4.3833092858379645,4.356719485325782
4.3807547378989895,4.3832602431333205,4.356848583033597
4.380702089113122,4.383235000564754,4.356815407086337
4.380662422219658,4.382983296095329,4.357062784258293
4.380766998575151,4.383038829746177,4.35700941425618
4.380861477903215,4.383138357587955,4.35700797182369
4.380886720471782,4.38315422434534,4.356702897352153
4.381081448857871,4.383215527726145,4.3568096373563785
4.38108289129036,4.383250146105895,4.356620678700249
4.381112461156396,4.383238606645977,4.357147166558931
4.381056927505549,4.38335688611012,4.3570505235821315
4.381055485073059,4.383664845446637,4.356972632227698
4.381152128049858,4.383635275580601,4.356990662633816
