I,II,V1
6027752.0,6027700.0,6086619.0
6027780.0,6027635.0,6086380.0
6028063.0,6027644.0,6086544.0
6028453.0,6028089.0,6086922.0
6028277.0,6027943.0,6087043.0
6028416.0,6028199.0,6086789.0
6028223.0,6028030.0,6086951.0
6028317.0,6027853.0,6086914.0
6028038.0,6027924.0,6087030.0
6028151.0,6028126.0,6086934.0
6028167.0,6028169.0,6086737.0
6028354.0,6028069.0,6087011.0
6027206.0,6027412.0,6087366.0
6024495.0,6024840.0,6088152.0
6025401.0,6023300.0,6087579.0
6045561.0,6037581.0,6078936.0
6063481.0,6051651.0,6075903.0
6055558.0,6046629.0,6081932.0
6038554.0,6033819.0,6088257.0
6032258.0,6030402.0,6087130.0
6030009.0,6028550.0,6087182.0
6028750.0,6028021.0,6087102.0
6028451.0,6027611.0,6086933.0
6028477.0,6027480.0,6086516.0
6028103.0,6027281.0,6086862.0
6028279.0,6027247.0,6086509.0
6027720.0,6027256.0,6086384.0
6028125.0,6027211.0,6086973.0
6028289.0,6027037.0,6086747.0
6028295.0,6027257.0,6086907.0
6028294.0,6027098.0,6087142.0
6028707.0,6026832.0,6086427.0
6028907.0,6026941.0,6085243.0
6029201.0,6026808.0,6087625.0
6029576.0,6026869.0,6087658.0
6029959.0,6027025.0,6087212.0
6030474.0,6027319.0,6086666.0
6030717.0,6027604.0,6086132.0
6031137.0,6027938.0,6085781.0
6031210.0,6028340.0,6085316.0
6030587.0,6028374.0,6084542.0
6029763.0,6028348.0,6086164.0
6029026.0,6028099.0,6086332.0
6028486.0,6028136.0,6086589.0
6028196.0,6027861.0,6086683.0
6027916.0,6027738.0,6086729.0
6027895.0,6027771.0,6086598.0
6027721.0,6027749.0,6086659.0
6027662.0,6027733.0,6086500.0
6027689.0,6027757.0,6086421.0
6027827.0,6027722.0,6086785.0
6027626.0,6027659.0,6086222.0
6027819.0,6027562.0,6086469.0
6027849.0,6027753.0,6086644.0
6027946.0,6027802.0,6086579.0
6027952.0,6027917.0,6086334.0
6028086.0,6027914.0,6086590.0
6028038.0,6027990.0,6086103.0
6028257.0,6028115.0,6086627.0
6028152.0,6028103.0,6086115.0
6028153.0,6027972.0,6086705.0
6028091.0,6028120.0,6086228.0
6028205.0,6028171.0,6086249.0
6028188.0,6028124.0,6085857.0
6027775.0,6028098.0,6086177.0
6027901.0,6027957.0,6086334.0
6028168.0,6028032.0,6086444.0
6027831.0,6028060.0,6086644.0
6027927.0,6027997.0,6086497.0
6027882.0,6028184.0,6086425.0
6027887.0,6028034.0,6086377.0
