I,II,V1
6006141.0,6010150.0,6122387.0
6005965.0,6010151.0,6122503.0
6005943.0,6010082.0,6122668.0
6005704.0,6010058.0,6122776.0
6005936.0,6010029.0,6122594.0
6005773.0,6010049.0,6123090.0
6005843.0,6010010.0,6123059.0
6005857.0,6009954.0,6123139.0
6005745.0,6009898.0,6123377.0
6005573.0,6009920.0,6123555.0
6005701.0,6009806.0,6123450.0
6005738.0,6009751.0,6123460.0
6005196.0,6009686.0,6123445.0
6005408.0,6009747.0,6123156.0
6005464.0,6009758.0,6123291.0
6005423.0,6009803.0,6124098.0
6005504.0,6009871.0,6124156.0
6005159.0,6009712.0,6124523.0
6004951.0,6009640.0,6124674.0
6005190.0,6009668.0,6124888.0
6005049.0,6009730.0,6125010.0
6005020.0,6009811.0,6124851.0
6005346.0,6009717.0,6124977.0
6004839.0,6009686.0,6125358.0
6002724.0,6007872.0,6126495.0
6001223.0,6005334.0,6127474.0
6006663.0,6008240.0,6124620.0
6027781.0,6024127.0,6115412.0
6034082.0,6029358.0,6118134.0
6019391.0,6020419.0,6126223.0
6009349.0,6012798.0,6127509.0
6007189.0,6010699.0,6126450.0
6005473.0,6009616.0,6126368.0
6004868.0,6009292.0,6126654.0
6004660.0,6008866.0,6126556.0
6004211.0,6008670.0,6126837.0
6004242.0,6008674.0,6126886.0
6004273.0,6008533.0,6126823.0
6004137.0,6008504.0,6127038.0
6004319.0,6008447.0,6127199.0
6004182.0,6008532.0,6127076.0
6004075.0,6008454.0,6127303.0
6004230.0,6008378.0,6127284.0
6004337.0,6008263.0,6127489.0
6003962.0,6007900.0,6127858.0
6004386.0,6007935.0,6127855.0
6004415.0,6007948.0,6128039.0
6004786.0,6008034.0,6127774.0
6005176.0,6008051.0,6127846.0
6005305.0,6008112.0,6127800.0
6005643.0,6008340.0,6127517.0
6005708.0,6008593.0,6127373.0
6005932.0,6008895.0,6127000.0
6005325.0,6008949.0,6127136.0
6005026.0,6008982.0,6127295.0
6004260.0,6008818.0,6127650.0
6003799.0,6008570.0,6128101.0
6003505.0,6008550.0,6128249.0
6003048.0,6008304.0,6128374.0
6003070.0,6008278.0,6128416.0
6002674.0,6008206.0,6128515.0
6002850.0,6008276.0,6128222.0
6002947.0,6008280.0,6128654.0
6002675.0,6008279.0,6128593.0
6002901.0,6008237.0,6128817.0
6002697.0,6008321.0,6128830.0
6002841.0,6008300.0,6129100.0
6002825.0,6008256.0,6129039.0
6002714.0,6008271.0,6129086.0
6002504.0,6008217.0,6129107.0
6002845.0,6008505.0,6128907.0
6002779.0,6008328.0,6129537.0
6002817.0,6008368.0,6129060.0
6002629.0,6008477.0,6128967.0
6002499.0,6008374.0,6129281.0
6002658.0,6008379.0,6129670.0
6002330.0,6008398.0,6129484.0
6002420.0,6008404.0,6129751.0
6002300.0,6008410.0,6129690.0
6002104.0,6008252.0,6129927.0
6002159.0,6008517.0,6129724.0
6002208.0,6008323.0,6129606.0
6002059.0,6008229.0,6129154.0
6002330.0,6008245.0,6129760.0
6002228.0,6008344.0,6130099.0
6002349.0,6008300.0,6130157.0
6002018.0,6008328.0,6130224.0
6002197.0,6008561.0,6130248.0
6002215.0,6008514.0,6130461.0
6002147.0,6008538.0,6130213.0
6002201.0,6008576.0,6130592.0
6002033.0,6008664.0,6130541.0
6001368.0,6007980.0,6130842.0
5999014.0,6005628.0,6132294.0
5999091.0,6004034.0,6132295.0
6011982.0,6015663.0,6123529.0
6034938.0,6032102.0,6118576.0
6031018.0,6027975.0,6125492.0
6011421.0,6015188.0,6132491.0
6005365.0,6010707.0,6130703.0
6003476.0,6009228.0,6130869.0
6002692.0,6008634.0,6130793.0
6002051.0,6008323.0,6130604.0
6002002.0,6008224.0,6130508.0
6001751.0,6007941.0,6130812.0
6001434.0,6007549.0,6130801.0
6001423.0,6007579.0,6130701.0
6001638.0,6007664.0,6130924.0
6001638.0,6007692.0,6130834.0
6001692.0,6007622.0,6131038.0
6001563.0,6007587.0,6131192.0
6001730.0,6007512.0,6131027.0
6001759.0,6007527.0,6131039.0
6001954.0,6007310.0,6131138.0
6002112.0,6007532.0,6131314.0
6002413.0,6007642.0,6131129.0
6002867.0,6007820.0,6131259.0
6003182.0,6007791.0,6131056.0
6003532.0,6008002.0,6130697.0
6003739.0,6008159.0,6130494.0
6004128.0,6008505.0,6130152.0
6003848.0,6008794.0,6129527.0
6003471.0,6008790.0,6129944.0
6002977.0,6008777.0,6129775.0
6002368.0,6008600.0,6130366.0
6001800.0,6008463.0,6130444.0
6001588.0,6008370.0,6130692.0
6001376.0,6008206.0,6131013.0
6001304.0,6008321.0,6130638.0
6001137.0,6008188.0,6131159.0
6001180.0,6008283.0,6130826.0
