I,II,V1
6026540.0,6032646.0,6086582.0
6026474.0,6032524.0,6087563.0
6026638.0,6032403.0,6088434.0
6026454.0,6032528.0,6088321.0
6026477.0,6032618.0,6087761.0
6026528.0,6032506.0,6087736.0
6026369.0,6032431.0,6087767.0
6026419.0,6032441.0,6087482.0
6026887.0,6032839.0,6087765.0
6026804.0,6032855.0,6087148.0
6026800.0,6032749.0,6087417.0
6026613.0,6032821.0,6087999.0
6026526.0,6032699.0,6087924.0
6026437.0,6032708.0,6087885.0
6026462.0,6032612.0,6087623.0
6026502.0,6032643.0,6087539.0
6026512.0,6032845.0,6087282.0
6026544.0,6033111.0,6087083.0
6026917.0,6033123.0,6087578.0
6026451.0,6032794.0,6087713.0
6026453.0,6032715.0,6088160.0
6026476.0,6032743.0,6087834.0
6026276.0,6032698.0,6087780.0
6026073.0,6032345.0,6087569.0
6026483.0,6032829.0,6087004.0
6026447.0,6032674.0,6086656.0
6026564.0,6032828.0,6086612.0
6026545.0,6032837.0,6087932.0
6026782.0,6033066.0,6087625.0
6026276.0,6032572.0,6087909.0
6026012.0,6032568.0,6088010.0
6026603.0,6033117.0,6087192.0
6026506.0,6032908.0,6087692.0
6026781.0,6033223.0,6087454.0
6026555.0,6032879.0,6087536.0
6026561.0,6032649.0,6088423.0
6024592.0,6031459.0,6088511.0
6023412.0,6029339.0,6088702.0
6028422.0,6030268.0,6086819.0
6048679.0,6046188.0,6076275.0
6058626.0,6054223.0,6077026.0
6043459.0,6045121.0,6087076.0
6032003.0,6036535.0,6088306.0
6029536.0,6034104.0,6088088.0
6028278.0,6033343.0,6088073.0
6027713.0,6032987.0,6088135.0
6027088.0,6032635.0,6087704.0
6026924.0,6032460.0,6087507.0
6027067.0,6032338.0,6087597.0
6027242.0,6032334.0,6087597.0
6027314.0,6032312.0,6087883.0
6027255.0,6032373.0,6087573.0
6027725.0,6032390.0,6088259.0
6027480.0,6032165.0,6088220.0
6027732.0,6032167.0,6088127.0
6028060.0,6032191.0,6087976.0
6028071.0,6032027.0,6087573.0
6028473.0,6032051.0,6087970.0
6028952.0,6032412.0,6087899.0
6029441.0,6032506.0,6087772.0
6029467.0,6032523.0,6087671.0
6030279.0,6033197.0,6087257.0
6030037.0,6033102.0,6086998.0
6030072.0,6033463.0,6086339.0
6029601.0,6033749.0,6086642.0
6029091.0,6033408.0,6086852.0
6028080.0,6033071.0,6087235.0
6027946.0,6033234.0,6087168.0
6027579.0,6032896.0,6087497.0
6027039.0,6032669.0,6087409.0
6027033.0,6032566.0,6087272.0
6027190.0,6032717.0,6087630.0
6027101.0,6032807.0,6087135.0
6027202.0,6032948.0,6087446.0
6027320.0,6032887.0,6087173.0
6027113.0,6032805.0,6088004.0
6027324.0,6032852.0,6087605.0
6027465.0,6032874.0,6087662.0
6027523.0,6032830.0,6087043.0
6027461.0,6032996.0,6087398.0
6027586.0,6033007.0,6087311.0
6027611.0,6033021.0,6087077.0
6027429.0,6032973.0,6086697.0
6027559.0,6032891.0,6086881.0
6027422.0,6032967.0,6087152.0
6027411.0,6032934.0,6087098.0
6027275.0,6032852.0,6087146.0
6027373.0,6032742.0,6087265.0
6027506.0,6032932.0,6087301.0
6027266.0,6032797.0,6086742.0
6027648.0,6032895.0,6086103.0
6027380.0,6032613.0,6086552.0
6027085.0,6032631.0,6086558.0
6027266.0,6032594.0,6087195.0
6027612.0,6032905.0,6087356.0
6027613.0,6032925.0,6087092.0
6027322.0,6032657.0,6087395.0
6027290.0,6032787.0,6087108.0
6027471.0,6032753.0,6087251.0
6027615.0,6032920.0,6087393.0
6027230.0,6032625.0,6087246.0
6027610.0,6032972.0,6087137.0
6026999.0,6032468.0,6087310.0
6024033.0,6029883.0,6088614.0
6023322.0,6026980.0,6088568.0
6035881.0,6036669.0,6081568.0
6059689.0,6053872.0,6075012.0
6058489.0,6052006.0,6080931.0
6040281.0,6041891.0,6087403.0
6031600.0,6035332.0,6087939.0
6029601.0,6033520.0,6086988.0
6028378.0,6032681.0,6087156.0
6027762.0,6032251.0,6087018.0
6027989.0,6032185.0,6087039.0
6027695.0,6032054.0,6087051.0
6027403.0,6031872.0,6086621.0
6027545.0,6031813.0,6086855.0
6027695.0,6031869.0,6086899.0
6027654.0,6031796.0,6086376.0
6027773.0,6031825.0,6086449.0
6027974.0,6031740.0,6086790.0
6028022.0,6031530.0,6086978.0
6028277.0,6031488.0,6087043.0
6028144.0,6031267.0,6087305.0
6028531.0,6031344.0,6087306.0
6028750.0,6031379.0,6086967.0
6029147.0,6031231.0,6087416.0
