I-mV,II-mV,V1-mV
4.378472809700537,4.373652921536738,4.35938005205274
4.378472088484292,4.3736002727508705,4.359333894213074
4.378652392545485,4.373821686138014,4.359351924619193
4.378569452677336,4.373738746269866,4.35923653002003
4.378604071057086,4.373726485593705,4.3593641852953535
4.378544931325014,4.373748122081048,4.359310815293242
4.378500215917838,4.373782740460798,4.35933317299683
4.378500215917838,4.373838274111645,4.359311536509486
4.378456942943152,4.373886595600045,4.359304324347038
4.378506706864042,4.373875777356372,4.359281966643451
4.378552143487462,4.373872892491394,4.359347597321724
4.378456942943152,4.37385269843654,4.359332451780585
4.378599022543372,4.374038051011446,4.359349760970459
4.378521131188936,4.373980353711865,4.359322354753157
4.378493724971635,4.3738642378964565,4.359372839890291
4.378528343351384,4.373966650603213,4.359305766779528
4.378602628624595,4.37402651155153,4.359358415565396
4.3784655975380895,4.3740092023616555,4.3592184996139105
4.378489397674167,4.3739349170884445,4.3593894278639205
4.378505985647797,4.373947898980849,4.359320912320668
4.37851103416151,4.373997662901739,4.359297833400835
4.3784670399705785,4.373999826550473,4.359267542318555
4.378505985647797,4.3739846810093335,4.359253117993659
4.3784663187543345,4.37399189317178,4.35918965096412
4.378521131188936,4.374044541957649,4.359333894213074
4.378549979838727,4.374017856956592,4.359228596641337
4.378525458486405,4.373992614388025,4.35929999704957
4.378549258622482,4.374022184254061,4.359178111504203
4.378524016053915,4.374037329795201,4.359332451780585
4.378505985647797,4.37399477803676,4.3592906212383875
4.378525458486405,4.373978911279375,4.359316585023199
4.3785391615950555,4.374069063309971,4.3592422997499884
4.37860623470582,4.374097190743517,4.359209845018974
4.378534834297588,4.374096469527272,4.359270427183534
4.378543488892524,4.374157051691833,4.359205517721505
4.378469924835558,4.37398107492811,4.359385100566453
4.378423045779648,4.3738887592487785,4.359564683411401
4.378284572260652,4.373723600728726,4.3595567500327075
4.378422324563403,4.373823128570504,4.359473088948315
4.378663210789156,4.374040935876425,4.359272590832268
4.378613446868267,4.374159215340567,4.3593151425907095
4.3786350833556105,4.37418085182791,4.359258166507373
4.378637247004344,4.3741534456106095,4.359347597321724
4.378580270921008,4.374136857636979,4.359271869616024
4.378619216598225,4.3741036816897205,4.359319469888178
4.378603349840841,4.374190948855337,4.359248069479946
4.378650228896751,4.374169312367994,4.359314421374465
4.3785889255159445,4.374171476016728,4.359157196233105
4.378593974029658,4.374203209531498,4.3592451846149665
4.378190814148832,4.373872171275149,4.359411785567509
4.376560865435652,4.372528545411142,4.360236856951526
4.375931964870212,4.370746420070316,4.360546979936776
4.381985132812567,4.37416570628677,4.355803540694924
4.397241741254434,4.386890124493248,4.349392649495163
4.398689943473931,4.388018827916313,4.352613601244306
4.387613504386753,4.380845611145831,4.358531180532645
