I,II,V1
6062274.0,6056114.0,6057053.0
6061950.0,6056095.0,6057091.0
6062002.0,6056239.0,6057194.0
6061995.0,6056299.0,6056937.0
6061963.0,6055957.0,6057284.0
6062154.0,6056208.0,6057017.0
6061939.0,6056224.0,6056998.0
6061875.0,6056242.0,6057012.0
6062216.0,6056310.0,6057016.0
6062045.0,6056426.0,6056787.0
6062045.0,6056369.0,6056796.0
6061864.0,6056203.0,6057009.0
6061955.0,6056309.0,6056968.0
6061890.0,6056295.0,6057027.0
6062161.0,6056376.0,6057039.0
6062088.0,6056326.0,6056914.0
6061835.0,6056392.0,6057080.0
6061940.0,6056173.0,6056994.0
6062113.0,6056232.0,6056989.0
6061813.0,6056138.0,6057094.0
6061870.0,6056061.0,6057047.0
6061966.0,6056233.0,6056934.0
6061916.0,6056087.0,6057089.0
6062066.0,6056413.0,6056946.0
6061874.0,6056267.0,6056901.0
6061911.0,6056178.0,6056995.0
6061933.0,6056130.0,6057000.0
6061839.0,6056245.0,6056991.0
6061822.0,6056121.0,6056983.0
6061760.0,6056156.0,6056916.0
6061768.0,6056146.0,6056852.0
6061844.0,6056153.0,6056936.0
6061865.0,6056082.0,6056845.0
6061484.0,6055921.0,6057122.0
6061579.0,6055989.0,6057048.0
6061505.0,6055878.0,6057112.0
6061658.0,6056070.0,6057031.0
6061485.0,6055960.0,6056877.0
6061530.0,6055849.0,6057244.0
6061502.0,6055883.0,6056937.0
6061254.0,6055828.0,6056653.0
6061231.0,6055647.0,6056632.0
6061461.0,6055572.0,6056708.0
6061842.0,6056123.0,6056898.0
6061780.0,6056112.0,6056988.0
6061581.0,6055980.0,6056983.0
6061624.0,6056159.0,6056987.0
6061841.0,6056131.0,6056710.0
6061786.0,6056230.0,6056928.0
6061600.0,6056220.0,6056899.0
6061258.0,6055651.0,6057286.0
6059662.0,6054135.0,6058473.0
6058395.0,6052025.0,6059485.0
6064133.0,6056086.0,6054235.0
6081113.0,6069119.0,6044091.0
6084466.0,6071292.0,6048832.0
6071819.0,6063769.0,6056974.0
6065237.0,6058751.0,6058016.0
6063118.0,6056851.0,6057245.0
6062322.0,6056357.0,6057377.0
6061633.0,6055785.0,6057325.0
6061113.0,6055327.0,6057520.0
6061293.0,6055514.0,6057460.0
6060936.0,6055169.0,6057481.0
6061057.0,6055126.0,6057633.0
6061300.0,6055263.0,6057364.0
6061063.0,6055205.0,6057605.0
6061246.0,6055093.0,6057607.0
6061306.0,6055197.0,6057884.0
6061286.0,6054997.0,6057892.0
6061308.0,6055094.0,6057917.0
