I-mV,II-mV,V1-mV
4.371717177135776,4.364740852400115,4.373474781124281
4.371784250246539,4.364797828483452,4.373587290858464
4.371761892542952,4.36480359821341,4.373517332882722
4.371812377680086,4.364863459161726,4.3735259874776595
4.371801559436414,4.364846149971851,4.373514448017743
4.371779922949071,4.364856246999278,4.373551951262471
4.371780644165316,4.364870671324173,4.37342934450086
4.37178280781405,4.3648050406459,4.373510841936519
4.371798674571434,4.364869228891684,4.373428623284616
4.371730159028182,4.364871392540419,4.373464684096854
4.371744583353077,4.364821628619529,4.373403380716049
4.371756844029238,4.364820186187039,4.373520217747701
4.371827523221225,4.364837495376914,4.373435835447063
4.3717929048414765,4.364854083350544,4.373499302476603
4.3718159837613095,4.364899519973964,4.373361550173851
4.371756844029238,4.364794222402228,4.373564211938632
4.371834735383674,4.3648533621342995,4.373461799231875
4.371811656463841,4.364767537401171,4.373513005585253
4.3717921836252325,4.36485191970181,4.373447374906979
4.371866468898443,4.364909617001391,4.3735267086939045
4.3718159837613095,4.364885095649069,4.3733839078774395
4.371779922949071,4.364795664834717,4.373437999095797
4.371837620248653,4.364832446863201,4.373386792742419
4.371790019976498,4.364824513484508,4.373445211258245
4.371753237948014,4.364838937809404,4.373419247473433
4.371743140920588,4.36472787050771,4.373511563152764
4.3717481894343,4.36478556780729,4.373440883960776
4.371800117003925,4.364832446863201,4.37350795707154
4.3717936260577215,4.364843986323117,4.3733586653088725
4.371832571734939,4.364905289703922,4.373443768825755
4.37179795335519,4.3648764410541325,4.373354338011404
4.371826080788736,4.3648793259191105,4.373489926665421
4.371799395787679,4.364841822674383,4.373350010713936
4.371805886733883,4.364843986323117,4.373469011394323
4.37184338997861,4.364882932000334,4.373352895578915
4.371764056191686,4.36486562281046,4.373414198959719
4.371829686869961,4.364813695240837,4.373293034630599
4.371838341464897,4.364924762542532,4.373379580579971
4.371839783897387,4.364970199165952,4.373299525576801
4.371805165517638,4.3649283686237546,4.373420689905923
4.371872238628401,4.364887980514048,4.3732375009797515
4.371825359572492,4.364932695921223,4.37335361679516
4.371818868626288,4.364946399029875,4.3732656284132965
4.371852765789793,4.364916829163839,4.373500744909092
4.371656594971215,4.364768979833661,4.373351453146424
4.371733765109406,4.364751670643787,4.373642824509312
4.371947966334102,4.364871392540419,4.3732627435483185
4.371994845390013,4.364922598893798,4.373375974498747
4.372048936608371,4.365054581466589,4.373281495170682
4.3719378693066755,4.3649990478157425,4.3734560295019165
4.371945081469123,4.365073333088954,4.373299525576801
4.371895317548234,4.365017078221863,4.373422132338413
4.371856371871016,4.364988950788316,4.373285101251906
4.371859977952241,4.364981738625868,4.373275725440724
4.371958063361529,4.365035108627981,4.373150955030379
4.371219537926885,4.364476887254529,4.373625515319437
4.36930470879702,4.362895981245993,4.3745371326528275
4.3694302004236105,4.361858872286014,4.374672721306844
4.377794866430453,4.367099950736758,4.3689260702685155
4.39225020362438,4.37928201432717,4.363494590729152
4.391577308868009,4.37869710795266,4.367104999250471
4.37995346665105,4.37084234183087,4.372975699482899
4.374594108736164,4.366677318017323,4.373642103293068
4.3731423004354415,4.365546450945523,4.373275725440724
4.37244055702928,4.3650048175457,4.373254088953381
4.3719385905229196,4.364678827803065,4.373308901387984
4.3718650264659535,4.364530978472887,4.373278610305703
4.371590964292942,4.364415583873724,4.373322604496634
4.371583752130493,4.364461020497144,4.3732396646284855
4.371497206181121,4.3642994680583165,4.373299525576801
4.371523169965933,4.364287207382155,4.373313949901697
4.371565000508129,4.364267734543546,4.373284380035662
4.3715051395598135,4.364236001028776,4.373271398143255
4.3715044183435685,4.364168206701768,4.373456750718161
4.371587358211717,4.364097527509781,4.373328374226592
4.371543364020786,4.364022521020324,4.3735505088299815
4.3715058607760575,4.363922271962301,4.3734553082856715
4.371667413214887,4.364027569534038,4.37355627855994
4.371717177135776,4.3639705934507,4.37353824815382
4.37179795335519,4.363767210469676,4.3736500366717594
4.371796510922701,4.363695088845199,4.3736240728869475
4.372084997420609,4.36369076154773,4.373619745589479
4.372377811215985,4.36381625317432,4.3733586653088725
4.372850929072555,4.363997278451757,4.373233173682283
4.373212979627429,4.36415955210683,4.37291079002087
4.373365156255075,4.364379523061485,4.372667018930138
4.373676000456571,4.364724264426486,4.372362665674845
4.373664460996655,4.364931253488734,4.372297034996571
4.373402659499804,4.365026454033044,4.372258089319354
4.373079554622147,4.365112999982416,4.372460751084134
4.372601388251864,4.365124539442332,4.3725624425746465
4.372280447022941,4.364942792948651,4.3728530927212885
4.372126106746561,4.364906732136412,4.372904299074667
4.371925608630514,4.364873556189153,4.373018972457586
4.371730159028182,4.36488221078409,4.373034839214971
4.371750353083035,4.364802876997166,4.373114894218141
4.371868632547177,4.364741573616359,4.373034839214971
4.371732322676916,4.364846871188096,4.373059360567293
4.371674625377334,4.364699743074163,4.37299084502404
4.371774153219112,4.364807204294634,4.373110566920672
4.37179795335519,4.364828119565733,4.372961996374249
4.371766219840421,4.364778355644844,4.373073784892188
4.371857814303506,4.364846871188096,4.373042772593663
4.371869353763422,4.36486706524295,4.3730470998911315
4.371805886733883,4.364897356325231,4.372987238942816
4.371852044573548,4.364899519973964,4.373009596646404
4.371894596331989,4.365028617681778,4.372875450424877
4.37181454132882,4.364905289703922,4.372969208536697
4.371823917140002,4.364983902274602,4.372967044887963
4.371751795515525,4.364987508355827,4.373005269348935
4.371743140920588,4.365017799438107,4.372894923263486
4.371796510922701,4.3650718906564645,4.372918002183318
4.371772710786623,4.365064678494017,4.372943244751885
4.371826080788736,4.3650971332250315,4.3730470998911315
4.371801559436414,4.365106509036213,4.372838668396393
4.3717481894343,4.365043763222918,4.373011760295138
4.371809492815106,4.365089199846339,4.372890595966017
4.3716962618646775,4.36508631498136,4.373030511917502
4.37178136538156,4.365208921742971,4.372903577858422
4.371730880244427,4.365139684983473,4.373011039078893
4.371799395787679,4.3652255097166,4.372845880558841
4.371663085917418,4.365154109308368,4.37294252353564
4.371758286461728,4.365162763903305,4.372970650969187
4.37173592875814,4.365133915253514,4.372962717590494
4.371722946865734,4.365213970256685,4.37283506231517
4.3717936260577215,4.365226230932845,4.372919444615808
4.371728716595692,4.365297631341077,4.3727831347455455
4.371720062000755,4.365229837014069,4.372892038398507
4.371828965653715,4.365358213505639,4.372873286776142
4.371759728894217,4.365156994173348,4.372904299074667
4.37168760726974,4.365216855121663,4.372850929072555
4.3717207832169995,4.365307007152259,4.3729028566421775
4.371857093087261,4.365332970937072,4.372742025419594
4.371661643484929,4.365247867420188,4.372871123127408
4.371769104705399,4.3653221526934,4.372799001502931
4.3717453045693215,4.365279600934958,4.372834341098925
4.371733043893161,4.365309170800995,4.372755728528245
4.37174963186679,4.3653848985066945,4.372864632181205
4.371616206861509,4.36521180660795,4.372950456914333
4.371513072938506,4.365019963086841,4.373053590837335
4.371759728894217,4.365116606063641,4.372913674885849
4.3718924326832544,4.3654570201311715,4.372830013801456
4.371897481196968,4.365376965128002,4.372810540962847
4.371852765789793,4.36541446837273,4.372933868940703
4.371833292951184,4.365477214186026,4.3728768928573665
4.371784971462785,4.365403650129059,4.372978584347879
4.3718405051136315,4.36547649296978,4.3728047712328895
4.371790741192743,4.365413747156486,4.372846601775086
4.3717669410566655,4.3654786566185155,4.372791789340483
4.371813098896331,4.365467117158598,4.372837225963903
4.371846996059834,4.365584675406496,4.372669903795117
4.369344375690483,4.3621812559474265,4.374114499933391
4.373075227324678,4.364616803206014,4.371222422791863
4.387383436404671,4.375351385793173,4.364515832931747
4.393055802169788,4.3800104427343864,4.3651440122809415
4.38315422434534,4.3739140018173455,4.371181313465912
4.375510053367021,4.368055562261079,4.3733608289576065
4.3736168607245,4.366440759089038,4.373017530025096
4.372555951628444,4.365591166352699,4.37273986177086
4.3720590336357965,4.36527238877251,4.3728516502887995
4.37181454132882,4.365145454713431,4.372737698122125
4.371733043893161,4.36508775741385,4.372784577178035
4.371701310378391,4.365001211464477,4.372744910284574
4.371644334295054,4.364821628619529,4.372838668396393
4.371676067809824,4.364814416457082,4.372734813257146
4.371665249566152,4.364817301322061,4.372744910284574
4.37164361307881,4.364775470779864,4.372800443935421
4.371707080108349,4.364701185506652,4.372907183939646
4.371730159028182,4.364696136992939,4.372808377314112
4.371778480516581,4.364689646046736,4.372914396102095
4.371838341464897,4.36463122753091,4.372889874749772
4.371826802004981,4.364590118204958,4.373080997054636
4.371922723765535,4.364593003069937,4.373034839214971
4.372048215392125,4.364487705498201,4.373083881919615
4.372289101617878,4.364515832931747,4.373042772593663
4.372559557709667,4.364473281173306,4.373097585028265
4.372791068124239,4.364525929959174,4.372890595966017
4.373276446656969,4.364720658345261,4.372789625691749
4.373686097483998,4.364983902274602,4.372444163110504
4.373968093035703,4.365164206335795,4.372322277565138
4.374056081417565,4.365392110669142,4.37200205755246
4.374046705606383,4.365490917294676,4.371895317548234
4.373890922897513,4.365582511757762,4.371834735383674
4.373207931113716,4.3655320266206274,4.372033069850985
4.372760777041958,4.365418795670199,4.372185246478631
4.372388629459657,4.365314219314707,4.372398005270839
4.372122500665337,4.365308449584749,4.372429017569364
4.3720107121473974,4.365172860930732,4.372542248519793
4.37186142038473,4.365072611872709,4.37255234554722
4.371883056872073,4.365043763222918,4.372669903795117
4.371854208222282,4.365068284575241,4.3725133998700025
4.371875123493381,4.365100018090011,4.372592733656926
4.371788577544008,4.364984623490847,4.372628073252921
4.371756844029238,4.364941350516161,4.372672788660096
4.371800838220169,4.364980296193378,4.372547297033506
4.371837620248653,4.364981738625868,4.372606436765578
4.371874402277136,4.365072611872709,4.372608600414312
4.371921281333046,4.365077660386422,4.372642497577816
4.372019366742335,4.365035108627981,4.372610042846801
4.371991960525033,4.365040157141695,4.372652594605243
4.371994845390013,4.365089199846339,4.372561000142157
4.3720309062022515,4.365123097009843,4.37264321879406
4.372011433363642,4.365170697281998,4.372561000142157
4.371931378360473,4.365138963767228,4.372599945819374
