I,II,V1
6011259.0,6004007.0,6107578.0
6011056.0,6003853.0,6107647.0
6011005.0,6003933.0,6107659.0
6011010.0,6003868.0,6107732.0
6010854.0,6003826.0,6107747.0
6010992.0,6003835.0,6107818.0
6010807.0,6003701.0,6107902.0
6010973.0,6003892.0,6107834.0
6010875.0,6003782.0,6107805.0
6010901.0,6003747.0,6107805.0
6010809.0,6003718.0,6107729.0
6010833.0,6003824.0,6107709.0
6010881.0,6003783.0,6107832.0
6011002.0,6003913.0,6107686.0
6010996.0,6003961.0,6107669.0
6010842.0,6003878.0,6107748.0
6010926.0,6003854.0,6107645.0
6010842.0,6003974.0,6107800.0
6010989.0,6003972.0,6107693.0
6010978.0,6003957.0,6107756.0
6010955.0,6004039.0,6107666.0
6010948.0,6004016.0,6107693.0
6011051.0,6004140.0,6107623.0
6010905.0,6004009.0,6107569.0
6010967.0,6004120.0,6107687.0
6011026.0,6004145.0,6107533.0
6010957.0,6004063.0,6107705.0
6010972.0,6004126.0,6107637.0
6011025.0,6004263.0,6107569.0
6010917.0,6004074.0,6107607.0
6010887.0,6004063.0,6107630.0
6010916.0,6004086.0,6107730.0
6011052.0,6004274.0,6107440.0
6010734.0,6003651.0,6107331.0
6011097.0,6004053.0,6107594.0
6011222.0,6004268.0,6107585.0
6011229.0,6004255.0,6107642.0
6011104.0,6004206.0,6107675.0
6011004.0,6004209.0,6107666.0
6011075.0,6004349.0,6107729.0
6011033.0,6004277.0,6107788.0
6011032.0,6004241.0,6107617.0
6011055.0,6004394.0,6107504.0
6010995.0,6004166.0,6107544.0
6010490.0,6003707.0,6108118.0
6008475.0,6001911.0,6109457.0
6007849.0,6000177.0,6110699.0
6016812.0,6005316.0,6103801.0
6033671.0,6019555.0,6095194.0
6033633.0,6020274.0,6100025.0
6021239.0,6012013.0,6108027.0
6014302.0,6006533.0,6108941.0
6012815.0,6004960.0,6107759.0
6011842.0,6004319.0,6107840.0
6011404.0,6004102.0,6107778.0
6011121.0,6003877.0,6107702.0
6011061.0,6003761.0,6107670.0
6011059.0,6003690.0,6107693.0
6010999.0,6003676.0,6107663.0
6011136.0,6003740.0,6107666.0
6011119.0,6003625.0,6107779.0
6011087.0,6003557.0,6107735.0
6011189.0,6003628.0,6107794.0
6011193.0,6003528.0,6107877.0
6011233.0,6003460.0,6107958.0
6011395.0,6003593.0,6108024.0
6011567.0,6003547.0,6108027.0
6011689.0,6003540.0,6108086.0
6011887.0,6003499.0,6108195.0
6012321.0,6003694.0,6107983.0
6012986.0,6004013.0,6107746.0
6013339.0,6004178.0,6107556.0
6013921.0,6004397.0,6107289.0
6014317.0,6004721.0,6106802.0
6014504.0,6004830.0,6106485.0
6014656.0,6005293.0,6106045.0
6014017.0,6004974.0,6106026.0
6013364.0,6004951.0,6106211.0
6012604.0,6004501.0,6106605.0
6012092.0,6004310.0,6106937.0
6011810.0,6004062.0,6107275.0
6011743.0,6004224.0,6107202.0
6011609.0,6004280.0,6107189.0
6011294.0,6004096.0,6107329.0
6011425.0,6004087.0,6107246.0
6011461.0,6004033.0,6107327.0
6011445.0,6004186.0,6107272.0
6011555.0,6004170.0,6107164.0
6011587.0,6004121.0,6107252.0
6011554.0,6004153.0,6107367.0
6011621.0,6004236.0,6107325.0
6011613.0,6004259.0,6107266.0
6011812.0,6004395.0,6107239.0
6011794.0,6004426.0,6107202.0
6011758.0,6004329.0,6107250.0
6011896.0,6004463.0,6107208.0
6011765.0,6004360.0,6107210.0
6011725.0,6004346.0,6107134.0
6011802.0,6004390.0,6107239.0
6011759.0,6004422.0,6107234.0
6011813.0,6004604.0,6107182.0
6011712.0,6004444.0,6107180.0
6011777.0,6004485.0,6107198.0
6011916.0,6004491.0,6107125.0
6011950.0,6004633.0,6107139.0
6012012.0,6004650.0,6107017.0
6011852.0,6004509.0,6107190.0
6011857.0,6004617.0,6107180.0
6011954.0,6004578.0,6106969.0
6011979.0,6004615.0,6107005.0
6011938.0,6004609.0,6106990.0
6011992.0,6004553.0,6107069.0
6011969.0,6004481.0,6107195.0
6012054.0,6004579.0,6107082.0
6011876.0,6004485.0,6107040.0
6011911.0,6004539.0,6106710.0
6011829.0,6004300.0,6106909.0
6011776.0,6004334.0,6106641.0
6012319.0,6004600.0,6106918.0
6012437.0,6004845.0,6107017.0
6012356.0,6004771.0,6106910.0
6012233.0,6004877.0,6107128.0
6012200.0,6004720.0,6107101.0
6012197.0,6004801.0,6107097.0
6012137.0,6004860.0,6107113.0
6012122.0,6004763.0,6107126.0
6012160.0,6004858.0,6107098.0
6012262.0,6004839.0,6106904.0
6012226.0,6004826.0,6107008.0
6010367.0,6003223.0,6108112.0
6009060.0,6001104.0,6109024.0
6037575.0,6022237.0,6097959.0
6025367.0,6014763.0,6106028.0
6016635.0,6008034.0,6108344.0
6014395.0,6006071.0,6107207.0
6013517.0,6005417.0,6107104.0
6012840.0,6004869.0,6107127.0
6012795.0,6004816.0,6106924.0
6012469.0,6004639.0,6107139.0
6012738.0,6004921.0,6106920.0
6012329.0,6004427.0,6106917.0
6012699.0,6004730.0,6106848.0
6012697.0,6004687.0,6106901.0
6012609.0,6004579.0,6107022.0
6012809.0,6004710.0,6107015.0
6012643.0,6004571.0,6106906.0
