I,II,V1
6047614.0,6043722.0,6065209.0
6047622.0,6043848.0,6065063.0
6047600.0,6043741.0,6065178.0
6047604.0,6043738.0,6065284.0
6047629.0,6043748.0,6065202.0
6047548.0,6043832.0,6065132.0
6047588.0,6043806.0,6065060.0
6047569.0,6043790.0,6065094.0
6047553.0,6043837.0,6064904.0
6047534.0,6043887.0,6065148.0
6047599.0,6043855.0,6065033.0
6047567.0,6043824.0,6065056.0
6047620.0,6043784.0,6065163.0
6047500.0,6043747.0,6065151.0
6047479.0,6043699.0,6065106.0
6047515.0,6043939.0,6065010.0
6047627.0,6043941.0,6065048.0
6047523.0,6043833.0,6064993.0
6047466.0,6043783.0,6065055.0
6047466.0,6043809.0,6065159.0
6047461.0,6043831.0,6065133.0
6047550.0,6043855.0,6065074.0
6047474.0,6043875.0,6064970.0
6047599.0,6043907.0,6064985.0
6047561.0,6043979.0,6065041.0
6047569.0,6044000.0,6064970.0
6047569.0,6043893.0,6065031.0
6047559.0,6043831.0,6065008.0
6047516.0,6043945.0,6064988.0
6047424.0,6043655.0,6065106.0
6047386.0,6043782.0,6064965.0
6047376.0,6043826.0,6065087.0
6047499.0,6043849.0,6064888.0
6047502.0,6043883.0,6064956.0
6047602.0,6043921.0,6064863.0
6047548.0,6043974.0,6064959.0
6047386.0,6043823.0,6064980.0
6047547.0,6043948.0,6064928.0
6047457.0,6043892.0,6064994.0
6047445.0,6043866.0,6065026.0
6047169.0,6043656.0,6064905.0
6047305.0,6043517.0,6064832.0
6047366.0,6043752.0,6064695.0
6047863.0,6044014.0,6064977.0
6047783.0,6044011.0,6065108.0
6047764.0,6044025.0,6064996.0
6047445.0,6043911.0,6065029.0
6047446.0,6043938.0,6065107.0
6047497.0,6044033.0,6065065.0
6047577.0,6044057.0,6065114.0
6047555.0,6043966.0,6065079.0
6044626.0,6041497.0,6066530.0
6043990.0,6039558.0,6066049.0
6052370.0,6044352.0,6061018.0
6074242.0,6062792.0,6051707.0
6076883.0,6064102.0,6056052.0
6060135.0,6052939.0,6064746.0
