I,II,V1
6026492.0,6025342.0,6088614.0
6026482.0,6025488.0,6088650.0
6026488.0,6025623.0,6088592.0
6025997.0,6025670.0,6088487.0
6025447.0,6025446.0,6088857.0
6025053.0,6025431.0,6088817.0
6024660.0,6025180.0,6089080.0
6024478.0,6025186.0,6089043.0
6024277.0,6024970.0,6089317.0
6024150.0,6024865.0,6089265.0
6024210.0,6024987.0,6089376.0
6024036.0,6025947.0,6089100.0
6024270.0,6028053.0,6089120.0
6024483.0,6028896.0,6089275.0
6024313.0,6029376.0,6089266.0
6024318.0,6029538.0,6089114.0
6024423.0,6029794.0,6088822.0
6024454.0,6029995.0,6087323.0
6024815.0,6030193.0,6086502.0
6024615.0,6029921.0,6085328.0
6024522.0,6029511.0,6084950.0
6024640.0,6029140.0,6085271.0
6024587.0,6028818.0,6085856.0
6024635.0,6028147.0,6086471.0
6024461.0,6027182.0,6087316.0
6024518.0,6026719.0,6088515.0
6024280.0,6026706.0,6088641.0
6024487.0,6026890.0,6088304.0
6024185.0,6026419.0,6087894.0
6024492.0,6026578.0,6088126.0
6024509.0,6026377.0,6088294.0
6024354.0,6026272.0,6088458.0
6024325.0,6026311.0,6088800.0
6024478.0,6026361.0,6088590.0
6024320.0,6026095.0,6088789.0
6024289.0,6026047.0,6088845.0
6024534.0,6026059.0,6088971.0
6024492.0,6026032.0,6088859.0
6024305.0,6026005.0,6088733.0
6024320.0,6025841.0,6089587.0
6024433.0,6026932.0,6088729.0
6024395.0,6028316.0,6088678.0
6024430.0,6029462.0,6087863.0
6024631.0,6029853.0,6087126.0
6024451.0,6029544.0,6086758.0
6024646.0,6029678.0,6086554.0
6024823.0,6029642.0,6087099.0
6024532.0,6029271.0,6088292.0
6024486.0,6028885.0,6087976.0
6024011.0,6027765.0,6087879.0
6024856.0,6028083.0,6088481.0
6024766.0,6026838.0,6088676.0
6024605.0,6026968.0,6088703.0
6024847.0,6027075.0,6088821.0
6024670.0,6026850.0,6088507.0
6024553.0,6026777.0,6088600.0
6024936.0,6026695.0,6089227.0
6024576.0,6026611.0,6089276.0
6024761.0,6026648.0,6089014.0
6024576.0,6026282.0,6089024.0
6024608.0,6026223.0,6089268.0
6024765.0,6026393.0,6088884.0
6024662.0,6026374.0,6089165.0
6024840.0,6026238.0,6089316.0
6024633.0,6026248.0,6089028.0
6024677.0,6026235.0,6089207.0
6024651.0,6026132.0,6089261.0
6024819.0,6026106.0,6089287.0
6024483.0,6026161.0,6089205.0
6024710.0,6026149.0,6089138.0
6024725.0,6025882.0,6089271.0
6024729.0,6025718.0,6089315.0
6024961.0,6025761.0,6089115.0
6025252.0,6026156.0,6088992.0
6025037.0,6026060.0,6089309.0
6025137.0,6026191.0,6089297.0
6025005.0,6025985.0,6089357.0
6024983.0,6026019.0,6089384.0
6025040.0,6026127.0,6089351.0
6025364.0,6026267.0,6089089.0
6025972.0,6026821.0,6087838.0
6026563.0,6028235.0,6087133.0
6027335.0,6028108.0,6087375.0
6026076.0,6026433.0,6088054.0
6024823.0,6024201.0,6088523.0
6029858.0,6024741.0,6087742.0
6049747.0,6039382.0,6078302.0
6062428.0,6048676.0,6078611.0
6049997.0,6041581.0,6086140.0
6035346.0,6031030.0,6087901.0
6032033.0,6028424.0,6090780.0
6029852.0,6026785.0,6089607.0
6028851.0,6026213.0,6087980.0
6028348.0,6025818.0,6086058.0
6028033.0,6025481.0,6084754.0
6028100.0,6025441.0,6083532.0
6028029.0,6025155.0,6087087.0
6028124.0,6025255.0,6087922.0
6028408.0,6025124.0,6088471.0
6028447.0,6025152.0,6088657.0
6028665.0,6025019.0,6088614.0
6028776.0,6024885.0,6088800.0
6028872.0,6024742.0,6089027.0
6028972.0,6024548.0,6089033.0
6029061.0,6024382.0,6089024.0
6029228.0,6024284.0,6089192.0
6029432.0,6025494.0,6088593.0
6029536.0,6025786.0,6087978.0
6030103.0,6026509.0,6086183.0
6030432.0,6026249.0,6085371.0
6031141.0,6026453.0,6086348.0
6031624.0,6026555.0,6092025.0
6032211.0,6026944.0,6089107.0
6032665.0,6027338.0,6087283.0
6032307.0,6026898.0,6086418.0
6031958.0,6026965.0,6085163.0
6031693.0,6026653.0,6083200.0
6031113.0,6026299.0,6079792.0
6031000.0,6026195.0,6084404.0
6031125.0,6026182.0,6085727.0
6031144.0,6026007.0,6087225.0
6031261.0,6025986.0,6088232.0
6031622.0,6026032.0,6087996.0
6031568.0,6025860.0,6088143.0
6031879.0,6025799.0,6088218.0
6032454.0,6025957.0,6088098.0
6032567.0,6025911.0,6087780.0
6032679.0,6025736.0,6088478.0
6032829.0,6025760.0,6088605.0
6032840.0,6025888.0,6088393.0
6033241.0,6025919.0,6089531.0
6033092.0,6025862.0,6094247.0
6033146.0,6026372.0,6091982.0
6032828.0,6027013.0,6089110.0
6033303.0,6028096.0,6087406.0
6033538.0,6027563.0,6086139.0
6033977.0,6027845.0,6085529.0
6033757.0,6027393.0,6083000.0
6033917.0,6027042.0,6078058.0
6034045.0,6026873.0,6080767.0
6033836.0,6026685.0,6083420.0
6033728.0,6026301.0,6085330.0
6033686.0,6026137.0,6087258.0
6033853.0,6026238.0,6087648.0
6033948.0,6026182.0,6086532.0
6034223.0,6026446.0,6087046.0
6034413.0,6026374.0,6087841.0
6034527.0,6026055.0,6088041.0
6034680.0,6026210.0,6087902.0
6034748.0,6025984.0,6088020.0
6034878.0,6026126.0,6088079.0
6034977.0,6026243.0,6088020.0
6034929.0,6026104.0,6088785.0
6034750.0,6026060.0,6100027.0
6034569.0,6027727.0,6089829.0
6034905.0,6028014.0,6086884.0
6035031.0,6027388.0,6083016.0
6035018.0,6027438.0,6077754.0
6035136.0,6027281.0,6080001.0
6035095.0,6027006.0,6083134.0
6035367.0,6026897.0,6083949.0
6035348.0,6026618.0,6086159.0
6035749.0,6026767.0,6087358.0
6035696.0,6026679.0,6087063.0
6035862.0,6026563.0,6086803.0
6036112.0,6026426.0,6087151.0
6036258.0,6026571.0,6087189.0
6036662.0,6026624.0,6087183.0
6036554.0,6026399.0,6087812.0
6036823.0,6026404.0,6088178.0
6036756.0,6026473.0,6088293.0
6036479.0,6026371.0,6100996.0
6036462.0,6026245.0,6095758.0
6036653.0,6027665.0,6091539.0
6036583.0,6028355.0,6091316.0
6036743.0,6029288.0,6086460.0
6037224.0,6029156.0,6084214.0
6037064.0,6029131.0,6079566.0
6037049.0,6029113.0,6079719.0
6037196.0,6028973.0,6080806.0
6037198.0,6028622.0,6083324.0
6037187.0,6028086.0,6083901.0
6037330.0,6027985.0,6086191.0
6037265.0,6027507.0,6086460.0
6035350.0,6025648.0,6086037.0
6033090.0,6022291.0,6087637.0
6040572.0,6025408.0,6087899.0
6064185.0,6044244.0,6079693.0
6072429.0,6049692.0,6081331.0
6057677.0,6040546.0,6087526.0
6044288.0,6030813.0,6088399.0
6041753.0,6028485.0,6106514.0
6040375.0,6027672.0,6096954.0
6039483.0,6026922.0,6093205.0
6038044.0,6026283.0,6090966.0
6038062.0,6028313.0,6089338.0
6038623.0,6029071.0,6084684.0
6038658.0,6028539.0,6079601.0
6038735.0,6028447.0,6077554.0
6038547.0,6027866.0,6080980.0
6038884.0,6027872.0,6081004.0
6038965.0,6027321.0,6083802.0
6039145.0,6026915.0,6085558.0
6039309.0,6026496.0,6085881.0
6039327.0,6026279.0,6087360.0
6039683.0,6026225.0,6087418.0
6040007.0,6025923.0,6086844.0
6040503.0,6025911.0,6087084.0
6041032.0,6025743.0,6087037.0
6041399.0,6025691.0,6087649.0
6041909.0,6025884.0,6088002.0
6042464.0,6026375.0,6092675.0
6042777.0,6026755.0,6096797.0
6042522.0,6026897.0,6092069.0
6042180.0,6027529.0,6089660.0
6041540.0,6028362.0,6087005.0
6041272.0,6029959.0,6085520.0
6041014.0,6029789.0,6079784.0
6041248.0,6029599.0,6077025.0
6040783.0,6029071.0,6080800.0
6040768.0,6028724.0,6081396.0
6041089.0,6028608.0,6081072.0
6041010.0,6028042.0,6083521.0
6041094.0,6027574.0,6084624.0
6040875.0,6027291.0,6085435.0
6041228.0,6027374.0,6085652.0
6041546.0,6027361.0,6084959.0
6041650.0,6027462.0,6085532.0
6041899.0,6027263.0,6086375.0
6042110.0,6027286.0,6086261.0
6042380.0,6027248.0,6086428.0
6042688.0,6027481.0,6086748.0
6042599.0,6027306.0,6091698.0
6042622.0,6027408.0,6095851.0
6042489.0,6027477.0,6091007.0
6042283.0,6028375.0,6088843.0
6041987.0,6028911.0,6086523.0
6041955.0,6029899.0,6083818.0
6042658.0,6029843.0,6079532.0
6042691.0,6029565.0,6078255.0
6042672.0,6029295.0,6081450.0
6042779.0,6028801.0,6081950.0
6042971.0,6028528.0,6080750.0
6043069.0,6028087.0,6082840.0
6043395.0,6028121.0,6082844.0
6043210.0,6027990.0,6084753.0
6042938.0,6027701.0,6084990.0
6043285.0,6027838.0,6085117.0
6043390.0,6027744.0,6085662.0
6043349.0,6027547.0,6085526.0
6043589.0,6027811.0,6085660.0
6043666.0,6027652.0,6086257.0
6043248.0,6027637.0,6092901.0
6042976.0,6028599.0,6088885.0
6042674.0,6029900.0,6087503.0
6042823.0,6030093.0,6083260.0
6043358.0,6029763.0,6081080.0
6043411.0,6029723.0,6078004.0
6043595.0,6029535.0,6078979.0
6043810.0,6029215.0,6080724.0
6044099.0,6028868.0,6079832.0
6043710.0,6028281.0,6080883.0
6043985.0,6028003.0,6081939.0
6043848.0,6027989.0,6082087.0
6043897.0,6027891.0,6083670.0
6043994.0,6027908.0,6084363.0
6044068.0,6027614.0,6085457.0
6044383.0,6027791.0,6085367.0
6044441.0,6027688.0,6085273.0
6044631.0,6027849.0,6085386.0
6044575.0,6027848.0,6085601.0
6044492.0,6027644.0,6090455.0
6044426.0,6027739.0,6096053.0
6044233.0,6027709.0,6092069.0
6043739.0,6027621.0,6088745.0
6043300.0,6028389.0,6089229.0
6043849.0,6030122.0,6082056.0
6044508.0,6029784.0,6079870.0
6044686.0,6029736.0,6077168.0
6044545.0,6029628.0,6079160.0
6044639.0,6029187.0,6080021.0
6044949.0,6028837.0,6079080.0
6044750.0,6028256.0,6081842.0
6044727.0,6028280.0,6082386.0
6044762.0,6028213.0,6083350.0
6044840.0,6027891.0,6083893.0
6044885.0,6028106.0,6084259.0
6043460.0,6026843.0,6085004.0
6041637.0,6024796.0,6086141.0
6044135.0,6023727.0,6087314.0
6061257.0,6036201.0,6078838.0
6078410.0,6049432.0,6078267.0
6070610.0,6045284.0,6097378.0
6054245.0,6033992.0,6095338.0
6048789.0,6029908.0,6090344.0
6046381.0,6028299.0,6087641.0
6044683.0,6027978.0,6088367.0
6044819.0,6029447.0,6081696.0
6045007.0,6028646.0,6076792.0
6044642.0,6028254.0,6076467.0
6044585.0,6028081.0,6078902.0
6044726.0,6027721.0,6079949.0
6045014.0,6027584.0,6079569.0
6045046.0,6027261.0,6080981.0
6045044.0,6026667.0,6083257.0
6045147.0,6026788.0,6084190.0
6045340.0,6026825.0,6083813.0
6045388.0,6026698.0,6084499.0
6045488.0,6026406.0,6084737.0
6045615.0,6026299.0,6085618.0
6045931.0,6026230.0,6085676.0
6046191.0,6026173.0,6086987.0
6046741.0,6026424.0,6102861.0
6046919.0,6026445.0,6093914.0
6047018.0,6026490.0,6089733.0
6047246.0,6026928.0,6086840.0
6046985.0,6027232.0,6085279.0
6046816.0,6028131.0,6082243.0
6047090.0,6029744.0,6075829.0
6046493.0,6028821.0,6076159.0
6045970.0,6028646.0,6078904.0
6045503.0,6028423.0,6078462.0
6045442.0,6028084.0,6079979.0
6045650.0,6027871.0,6079012.0
6045649.0,6027903.0,6081794.0
6045539.0,6027740.0,6082077.0
6045646.0,6027539.0,6083667.0
6045604.0,6027383.0,6083462.0
6045723.0,6027278.0,6083542.0
6045815.0,6027331.0,6084114.0
6045856.0,6027304.0,6084382.0
6045839.0,6027440.0,6084325.0
6045689.0,6027451.0,6085813.0
6045541.0,6027554.0,6098305.0
6045396.0,6027653.0,6092039.0
6044723.0,6027812.0,6089360.0
6044931.0,6029325.0,6086733.0
6045123.0,6029928.0,6082001.0
6045296.0,6028901.0,6078106.0
6045387.0,6029310.0,6072257.0
6044863.0,6028442.0,6076291.0
6045002.0,6028267.0,6078377.0
6044272.0,6028139.0,6079746.0
6044049.0,6027903.0,6082071.0
6043696.0,6028000.0,6083137.0
6043404.0,6028049.0,6085203.0
6044215.0,6031355.0,6080420.0
6066732.0,6049794.0,6075368.0
6065653.0,6048972.0,6079389.0
6047067.0,6035947.0,6085807.0
6039334.0,6030408.0,6085225.0
6037210.0,6028927.0,6084668.0
6035972.0,6028042.0,6084730.0
6035235.0,6027736.0,6084839.0
6034910.0,6027453.0,6084933.0
6034611.0,6027320.0,6084879.0
6034582.0,6027169.0,6085071.0
6034484.0,6027083.0,6084998.0
6034419.0,6027087.0,6084958.0
6034431.0,6027032.0,6085062.0
6034548.0,6027186.0,6085113.0
6034425.0,6027015.0,6085267.0
6034391.0,6026909.0,6085337.0
6034429.0,6026827.0,6085422.0
6034517.0,6026724.0,6085443.0
6034534.0,6026694.0,6085600.0
6034638.0,6026584.0,6085667.0
6034826.0,6026582.0,6085782.0
6035273.0,6026666.0,6085814.0
6035513.0,6026766.0,6085667.0
6035638.0,6026767.0,6085483.0
6035960.0,6027183.0,6085105.0
6036186.0,6027573.0,6084797.0
6036249.0,6027805.0,6084486.0
6035942.0,6028058.0,6084447.0
6035642.0,6028190.0,6084618.0
6035103.0,6028144.0,6084470.0
6034396.0,6027936.0,6084818.0
6033976.0,6028002.0,6085021.0
6033708.0,6027713.0,6085175.0
6033679.0,6027788.0,6085251.0
6033528.0,6027724.0,6085244.0
6033678.0,6027724.0,6085326.0
6033621.0,6027814.0,6085163.0
6033519.0,6027617.0,6085226.0
6033616.0,6027824.0,6085364.0
6033426.0,6027589.0,6085280.0
6033459.0,6027720.0,6085350.0
6033564.0,6027871.0,6085238.0
6033412.0,6027808.0,6085331.0
6033543.0,6028013.0,6085330.0
6033486.0,6027954.0,6085283.0
6033475.0,6027994.0,6085311.0
6033696.0,6028221.0,6085327.0
6033159.0,6027781.0,6085438.0
6033431.0,6028028.0,6085319.0
6033351.0,6028051.0,6085394.0
6033345.0,6028219.0,6085266.0
6033319.0,6028054.0,6085470.0
6033131.0,6028110.0,6085469.0
6033180.0,6028090.0,6085397.0
6033112.0,6028014.0,6085619.0
6033331.0,6028130.0,6085603.0
6032982.0,6028170.0,6085558.0
6032928.0,6028070.0,6085677.0
6032868.0,6027846.0,6085733.0
6033021.0,6028146.0,6085574.0
6033243.0,6028429.0,6085618.0
6033050.0,6028294.0,6085428.0
6033072.0,6028162.0,6085801.0
6032604.0,6027824.0,6085833.0
6032998.0,6028361.0,6085605.0
6033058.0,6028198.0,6085443.0
6032673.0,6028022.0,6085810.0
6032799.0,6028353.0,6085554.0
6032921.0,6028278.0,6085740.0
6032897.0,6028195.0,6085613.0
6032606.0,6027971.0,6085813.0
6032651.0,6028400.0,6085339.0
6033120.0,6028302.0,6085716.0
6032567.0,6027858.0,6085923.0
6032708.0,6028143.0,6085582.0
6032741.0,6028242.0,6085826.0
6032786.0,6028219.0,6085487.0
6032687.0,6028145.0,6085647.0
6032406.0,6028029.0,6085870.0
6033002.0,6028087.0,6085476.0
6032634.0,6027987.0,6085957.0
6032464.0,6027930.0,6085983.0
6032798.0,6028297.0,6085564.0
6032443.0,6028115.0,6085786.0
6032451.0,6028076.0,6085660.0
6032505.0,6027839.0,6085781.0
6032523.0,6027959.0,6085948.0
6032906.0,6028287.0,6085378.0
6032946.0,6028396.0,6085514.0
6033253.0,6028399.0,6084752.0
6032846.0,6028440.0,6086895.0
6032665.0,6028346.0,6086265.0
6032904.0,6028387.0,6086344.0
6032849.0,6028528.0,6086258.0
6032999.0,6028520.0,6086172.0
6032641.0,6028537.0,6086138.0
6033121.0,6028670.0,6085738.0
6029767.0,6023531.0,6087949.0
6041749.0,6030840.0,6080583.0
6064125.0,6048889.0,6074702.0
6063958.0,6047526.0,6079327.0
6046560.0,6038306.0,6085562.0
6037817.0,6031392.0,6086537.0
6035274.0,6029659.0,6085522.0
6034106.0,6028692.0,6085680.0
6033390.0,6028303.0,6085745.0
6032906.0,6027990.0,6085971.0
6032858.0,6027936.0,6085898.0
6032810.0,6027955.0,6085938.0
6032787.0,6027791.0,6085684.0
6032874.0,6027851.0,6085551.0
6032674.0,6027803.0,6085934.0
6032756.0,6027776.0,6085906.0
6033034.0,6027871.0,6085621.0
6032916.0,6027653.0,6085812.0
6033189.0,6027687.0,6085674.0
6033122.0,6027668.0,6085406.0
6033094.0,6027393.0,6085378.0
6033309.0,6027218.0,6085764.0
6033270.0,6027215.0,6085577.0
6033480.0,6026973.0,6085672.0
6033888.0,6027228.0,6085379.0
6034013.0,6027175.0,6085284.0
6034406.0,6027689.0,6084543.0
6034372.0,6027597.0,6084888.0
6034625.0,6028298.0,6084199.0
6033916.0,6028386.0,6084944.0
6033623.0,6028567.0,6085205.0
6033081.0,6028449.0,6085229.0
6032812.0,6028504.0,6084786.0
6032329.0,6028189.0,6085545.0
6032186.0,6028160.0,6085719.0
6032376.0,6028337.0,6085088.0
6031741.0,6027861.0,6085772.0
6031914.0,6027958.0,6085436.0
6031769.0,6028002.0,6086002.0
6031922.0,6027998.0,6085781.0
6031957.0,6027959.0,6085625.0
6031815.0,6027995.0,6085572.0
6032153.0,6028124.0,6085363.0
6032086.0,6028070.0,6085598.0
6032125.0,6028128.0,6085568.0
6032057.0,6028210.0,6085671.0
6032158.0,6028202.0,6085778.0
6032059.0,6028257.0,6085582.0
6032174.0,6028360.0,6085635.0
6032210.0,6028294.0,6085718.0
6032244.0,6028397.0,6085645.0
6032240.0,6028450.0,6085547.0
6032056.0,6028446.0,6085328.0
6032041.0,6028372.0,6085117.0
6031908.0,6028318.0,6085816.0
6032051.0,6028462.0,6086065.0
6031981.0,6028477.0,6085591.0
6031977.0,6028456.0,6085745.0
6032087.0,6028498.0,6085471.0
6032027.0,6028500.0,6085437.0
6032033.0,6028458.0,6085280.0
6031990.0,6028506.0,6085684.0
6031752.0,6028402.0,6085624.0
6031649.0,6028419.0,6085760.0
6031965.0,6028459.0,6085704.0
6031827.0,6028410.0,6085715.0
6031900.0,6028485.0,6085642.0
6031899.0,6028468.0,6085165.0
6031886.0,6028498.0,6085439.0
6031837.0,6028462.0,6086067.0
6032087.0,6028686.0,6085730.0
6031598.0,6028558.0,6085774.0
6031957.0,6028814.0,6085158.0
6031706.0,6028387.0,6085233.0
6031695.0,6028384.0,6085034.0
6031895.0,6028584.0,6084801.0
6031959.0,6028682.0,6085507.0
6032113.0,6028682.0,6086002.0
6031975.0,6028845.0,6085849.0
6031809.0,6028837.0,6085539.0
6031824.0,6028755.0,6085902.0
6031769.0,6028944.0,6085896.0
6031649.0,6028576.0,6086034.0
6031752.0,6028838.0,6085785.0
6031903.0,6028888.0,6085721.0
6029418.0,6027075.0,6086522.0
6027689.0,6024343.0,6086795.0
6033449.0,6026336.0,6084395.0
6059158.0,6046729.0,6074887.0
6069877.0,6054381.0,6076601.0
6052195.0,6042930.0,6084851.0
6038120.0,6032564.0,6086402.0
6034792.0,6030201.0,6085387.0
6033008.0,6029024.0,6085563.0
6032179.0,6028481.0,6085517.0
6031853.0,6028127.0,6085670.0
6031244.0,6027964.0,6085701.0
6031278.0,6028038.0,6085978.0
6031428.0,6027823.0,6085809.0
6031542.0,6027826.0,6085764.0
6031473.0,6027748.0,6085578.0
6031716.0,6027736.0,6085481.0
6031621.0,6027722.0,6085868.0
6031699.0,6027540.0,6086188.0
6031836.0,6027534.0,6086248.0
6032135.0,6027555.0,6086040.0
6032300.0,6027466.0,6086014.0
6032789.0,6027557.0,6085942.0
6033246.0,6027632.0,6085683.0
6033410.0,6027858.0,6085485.0
6033991.0,6028212.0,6085070.0
6034067.0,6028548.0,6084516.0
6034184.0,6028877.0,6084582.0
6033967.0,6029115.0,6084451.0
6033475.0,6029098.0,6084454.0
6032944.0,6028975.0,6084661.0
6032382.0,6028923.0,6084758.0
6032045.0,6028799.0,6085062.0
6031638.0,6028692.0,6085240.0
6031583.0,6028749.0,6085124.0
6031690.0,6028771.0,6085137.0
6031644.0,6028665.0,6085340.0
6031708.0,6028740.0,6085031.0
6031372.0,6028720.0,6085338.0
6031611.0,6028641.0,6085112.0
6031623.0,6028746.0,6085034.0
6031577.0,6028729.0,6085308.0
6031719.0,6028793.0,6085008.0
6031544.0,6028667.0,6085629.0
6031680.0,6028736.0,6085208.0
6031703.0,6028567.0,6085466.0
6031648.0,6028804.0,6085280.0
6031735.0,6028630.0,6085270.0
6031796.0,6028827.0,6085076.0
6031558.0,6028885.0,6085227.0
6031366.0,6028842.0,6085367.0
6031649.0,6028788.0,6085187.0
6031590.0,6028855.0,6085277.0
6031563.0,6028849.0,6085289.0
6031598.0,6028901.0,6085532.0
6031623.0,6028880.0,6085450.0
6031648.0,6028893.0,6085360.0
6031461.0,6028819.0,6085024.0
6031520.0,6028884.0,6085510.0
6031562.0,6028870.0,6085290.0
6031534.0,6028880.0,6084872.0
6031360.0,6028887.0,6085552.0
6031347.0,6028839.0,6085770.0
6031391.0,6028852.0,6085457.0
6031441.0,6028800.0,6085754.0
6031452.0,6028886.0,6085370.0
6031521.0,6029073.0,6085425.0
6031843.0,6029001.0,6085245.0
6031384.0,6028767.0,6085539.0
6031357.0,6028846.0,6085393.0
6031537.0,6028908.0,6085233.0
6031289.0,6028981.0,6085488.0
6031383.0,6028733.0,6085601.0
6031671.0,6029128.0,6085207.0
6031563.0,6028920.0,6085207.0
6031355.0,6028817.0,6085595.0
6031511.0,6028933.0,6085526.0
6031575.0,6029007.0,6085193.0
6031284.0,6029073.0,6085316.0
6031393.0,6028916.0,6085491.0
6031586.0,6029019.0,6085474.0
6031565.0,6029037.0,6085160.0
6031449.0,6028909.0,6085235.0
6031591.0,6028953.0,6085565.0
6031524.0,6028947.0,6085222.0
6031517.0,6029015.0,6085316.0
6031570.0,6029064.0,6085354.0
6031581.0,6029152.0,6085273.0
6031625.0,6029127.0,6085125.0
6031261.0,6028738.0,6085235.0
6031355.0,6028730.0,6084926.0
6031789.0,6029149.0,6085048.0
6031810.0,6029099.0,6085385.0
6031794.0,6029189.0,6085341.0
6031766.0,6029298.0,6085398.0
6031684.0,6029155.0,6085623.0
6031690.0,6029278.0,6085477.0
6031667.0,6029234.0,6085532.0
6031629.0,6029277.0,6085434.0
6031895.0,6029314.0,6085404.0
6031189.0,6028907.0,6085555.0
6028741.0,6026609.0,6087128.0
6028610.0,6024469.0,6087525.0
6040593.0,6032038.0,6079928.0
6062595.0,6050211.0,6075712.0
6060702.0,6048939.0,6080498.0
6043379.0,6037166.0,6086446.0
6035971.0,6031680.0,6086062.0
6034054.0,6030238.0,6085437.0
6032882.0,6029314.0,6085367.0
6031979.0,6028777.0,6085958.0
6031491.0,6028214.0,6085688.0
6031624.0,6028375.0,6085743.0
6031755.0,6028420.0,6085759.0
6031805.0,6028408.0,6085751.0
6031821.0,6028325.0,6085700.0
6031869.0,6028239.0,6085724.0
6031949.0,6028360.0,6085979.0
6032371.0,6028471.0,6086012.0
6032301.0,6028253.0,6086031.0
6032278.0,6028053.0,6086301.0
6032771.0,6028082.0,6086285.0
6032890.0,6028138.0,6086379.0
6033152.0,6028031.0,6086264.0
6033583.0,6028111.0,6086286.0
6034104.0,6028506.0,6086080.0
6034015.0,6028632.0,6085803.0
6034375.0,6028833.0,6085416.0
6034506.0,6029225.0,6084895.0
6034212.0,6029527.0,6084870.0
6033627.0,6029236.0,6084921.0
6033307.0,6029392.0,6084939.0
6032980.0,6029317.0,6084932.0
6032460.0,6028974.0,6085218.0
6032128.0,6028897.0,6085422.0
6032158.0,6029054.0,6085137.0
6032123.0,6028934.0,6085276.0
6032123.0,6028965.0,6085409.0
6032428.0,6029171.0,6085230.0
6032536.0,6029015.0,6085132.0
6032448.0,6029136.0,6085233.0
6032277.0,6028968.0,6085240.0
6032639.0,6029231.0,6085308.0
6032420.0,6028986.0,6085426.0
6032604.0,6029324.0,6085174.0
6032774.0,6029284.0,6085144.0
6032585.0,6029090.0,6085113.0
6032701.0,6029234.0,6085107.0
6032516.0,6029254.0,6085113.0
6032735.0,6029521.0,6085257.0
6032660.0,6029017.0,6085066.0
6032388.0,6029347.0,6085373.0
6032629.0,6029245.0,6085313.0
6032761.0,6029451.0,6085230.0
6032535.0,6029320.0,6085118.0
6032405.0,6029076.0,6085493.0
6032379.0,6029251.0,6085165.0
6032443.0,6029158.0,6085353.0
6032750.0,6029465.0,6085130.0
6032350.0,6029220.0,6085264.0
6032698.0,6029320.0,6085210.0
6032461.0,6029336.0,6085275.0
6032633.0,6029160.0,6085440.0
6032497.0,6029218.0,6085230.0
6032655.0,6029221.0,6085255.0
6032924.0,6029369.0,6085309.0
6032653.0,6029437.0,6085272.0
6032755.0,6029559.0,6085176.0
6032643.0,6029087.0,6085405.0
6032760.0,6029269.0,6085335.0
6032740.0,6029304.0,6085251.0
6032731.0,6029198.0,6085354.0
6032793.0,6029348.0,6085091.0
6032682.0,6029334.0,6084999.0
6032526.0,6029065.0,6085079.0
6032838.0,6029164.0,6084711.0
6032986.0,6029424.0,6085054.0
6033259.0,6029495.0,6085138.0
6033067.0,6029419.0,6085406.0
6032928.0,6029493.0,6085365.0
6033210.0,6029627.0,6085331.0
6032997.0,6029578.0,6085393.0
6033083.0,6029433.0,6085367.0
