I,II,V1
6008214.0,6013913.0,6101012.0
6008418.0,6014386.0,6100992.0
6008255.0,6014676.0,6100891.0
6007642.0,6014652.0,6101012.0
6007263.0,6014660.0,6101402.0
6006931.0,6014766.0,6101326.0
6006523.0,6014388.0,6101842.0
6006516.0,6014597.0,6101432.0
6006504.0,6014529.0,6101832.0
6006423.0,6014392.0,6101629.0
6006510.0,6014520.0,6101842.0
6006309.0,6014456.0,6101603.0
6006613.0,6014400.0,6101585.0
6006582.0,6014534.0,6101617.0
6006534.0,6014445.0,6101868.0
6006585.0,6014457.0,6101694.0
6006556.0,6014517.0,6101515.0
6006730.0,6014676.0,6101639.0
6006716.0,6014696.0,6101372.0
6006640.0,6014749.0,6101254.0
6006509.0,6014635.0,6101646.0
6006749.0,6014837.0,6101638.0
6006921.0,6014892.0,6101619.0
6006658.0,6014820.0,6101607.0
6006473.0,6014722.0,6101610.0
6006633.0,6014818.0,6101460.0
6006725.0,6014807.0,6101130.0
6006478.0,6014731.0,6101721.0
6006576.0,6014880.0,6101364.0
6006468.0,6014826.0,6101082.0
6006604.0,6014807.0,6100782.0
6006622.0,6014827.0,6100799.0
6006992.0,6015083.0,6100942.0
6007004.0,6015067.0,6100981.0
6006772.0,6015063.0,6101496.0
6006877.0,6015033.0,6102021.0
6006638.0,6014987.0,6101848.0
6006746.0,6015052.0,6101809.0
6006874.0,6015168.0,6101717.0
6006781.0,6015140.0,6101706.0
6006900.0,6015139.0,6101639.0
6005301.0,6014236.0,6102098.0
6003296.0,6011917.0,6102863.0
6005303.0,6011466.0,6102540.0
6025902.0,6026314.0,6093746.0
6040215.0,6037845.0,6092326.0
6030172.0,6031544.0,6098548.0
6015170.0,6019793.0,6102866.0
6010355.0,6017047.0,6101771.0
6008180.0,6015586.0,6101570.0
6007716.0,6015248.0,6101365.0
6007042.0,6014768.0,6101717.0
6006710.0,6014498.0,6101111.0
6006605.0,6014348.0,6101690.0
6006614.0,6014219.0,6101570.0
6006668.0,6014389.0,6101598.0
6006700.0,6014461.0,6101428.0
6006938.0,6014422.0,6101899.0
6006812.0,6014073.0,6101852.0
6006764.0,6014287.0,6101115.0
6006790.0,6013992.0,6101859.0
6006666.0,6013772.0,6101616.0
6006998.0,6013868.0,6101869.0
6007195.0,6013735.0,6102113.0
6007491.0,6013718.0,6101840.0
6007534.0,6013587.0,6101843.0
6008024.0,6013697.0,6101969.0
6008223.0,6013861.0,6101840.0
6008573.0,6014124.0,6101208.0
6009049.0,6014745.0,6101152.0
6009188.0,6015107.0,6100295.0
6008937.0,6015270.0,6100707.0
6008215.0,6015357.0,6100552.0
6007692.0,6015261.0,6100388.0
6007437.0,6015036.0,6101217.0
6007142.0,6014890.0,6101273.0
6006971.0,6014937.0,6101262.0
6006990.0,6014930.0,6101039.0
6006842.0,6014853.0,6101005.0
6007011.0,6014932.0,6101009.0
6006873.0,6014913.0,6100658.0
6006976.0,6014907.0,6101005.0
6007049.0,6014989.0,6100789.0
6007048.0,6014895.0,6100994.0
6007238.0,6015177.0,6100917.0
6007178.0,6015040.0,6101156.0
6007302.0,6015198.0,6100951.0
6006882.0,6014982.0,6100550.0
6006940.0,6015202.0,6100256.0
6007147.0,6015268.0,6100982.0
6006951.0,6015098.0,6100903.0
6007186.0,6015185.0,6100566.0
6007233.0,6015235.0,6100786.0
6006815.0,6015366.0,6100802.0
6006892.0,6015420.0,6100277.0
6006923.0,6015177.0,6100897.0
6006817.0,6015215.0,6100529.0
6006841.0,6015216.0,6100651.0
6007095.0,6015417.0,6100367.0
6006830.0,6015507.0,6100727.0
6006699.0,6015181.0,6100357.0
6006890.0,6015482.0,6100817.0
6006661.0,6015203.0,6100635.0
6006969.0,6015650.0,6100562.0
6006842.0,6015379.0,6100669.0
6006942.0,6015461.0,6100541.0
6006639.0,6015384.0,6099978.0
6006815.0,6015476.0,6099632.0
6006376.0,6015218.0,6100214.0
6006687.0,6015393.0,6099393.0
6006676.0,6015315.0,6100728.0
6007477.0,6016092.0,6100178.0
6006902.0,6015596.0,6101028.0
