I-mV,II-mV,V1-mV
4.355745122179099,4.351241126730509,4.384937792118656
4.355671558122132,4.351310363490007,4.384885143332788
4.355714831096818,4.351246896460467,4.384883700900298
4.355760267720239,4.351277908758992,4.384838264276877
4.355723485691755,4.351327672679882,4.384742342516324
4.355683097582047,4.35125338740667,4.3847993185996605
4.355723485691755,4.351265648082831,4.384726475758938
4.355718437178042,4.3513637334921205,4.384833936979409
4.3557018492044115,4.351295939165111,4.384825282384472
4.355858353129527,4.351378157817015,4.384854852250507
4.355788395153784,4.351382485114484,4.384833936979409
4.3558230135335325,4.351267090515321,4.384860621980465
4.355802819478679,4.351327672679882,4.384775518463583
4.355908117050416,4.351401957953093,4.384634160079608
4.355835274209695,4.351352194032204,4.384800039815905
4.355804261911169,4.3513896972769315,4.384820955087003
4.355950668808857,4.351354357680938,4.3848050883296175
4.355899462455479,4.3513896972769315,4.384838985493122
4.35586628650822,4.351306757408783,4.384502177506815
4.355775413261378,4.35125194497418,4.384546171697746
4.355781904207581,4.351212999296963,4.384263454929796
4.35600692367595,4.351346424302245,4.384506504804284
4.3562052581432615,4.351425036872925,4.38481734900578
4.356155494222373,4.3514841766049965,4.3847300818401616
4.355994662999788,4.351361569843386,4.385031550230476
4.3560862574628745,4.3514423460628,4.384940676983635
4.3561829004396735,4.351511582822298,4.385009913743133
4.356081208949161,4.351420709575456,4.384965919552202
4.355574915145333,4.351186314295906,4.385326527674587
4.354016366840384,4.349717918021555,4.386057840946783
4.354110124952204,4.324932600553787,4.386481194882464
4.3653127768822175,4.355639103391116,4.380340038558248
4.379659210423184,4.367489407508934,4.3772856877616455
4.375822340001007,4.3653221526934,4.380844889929586
4.363929484124749,4.356199488413303,4.3856921843106855
4.359048292580145,4.353241780593501,4.385154878208332
4.357529411168659,4.352033743383512,4.385004865229419
4.356806031275155,4.3516053409341175,4.385029386581742
4.356454077747706,4.35125338740667,4.384955822524776
4.356204536927017,4.351198574972068,4.38495510130853
4.356188670169632,4.351083901589149,4.385134684153478
4.356183621655918,4.351070919696744,4.384977459012118
4.356197324764569,4.3510514468581345,4.384935628469921
4.356201652062038,4.3509295613127685,4.385136126585968
4.356293246525123,4.351061543885561,4.38501856833807
4.356361040852132,4.351037022533239,4.384968804417181
4.356379071258251,4.351007452667203,4.384931301172453
4.356428113962895,4.350953361448846,4.385056071582798
4.356529805453408,4.350933167393992,4.385131799288499
4.35655576923822,4.350989422261084,4.3851397326671915
4.356725255055741,4.35086032455327,4.385290466862348
4.356819734383806,4.350776663468877,4.385463558761094
4.35700797182369,4.35083147590348,4.385278927402432
4.357251742914423,4.350931003745258,4.385336624702013
4.357403919542069,4.351009616315938,4.385239981725215
4.3575063322488266,4.351077410642946,4.385014962256846
4.357706109148628,4.351182708214682,4.384833936979409
4.357783279286818,4.35147263714508,4.384623341835936
4.357679424147571,4.3516514987737835,4.384479098586982
4.357474598734057,4.351656547287496,4.38443943169352
4.357212797237205,4.351704868775896,4.3843932738538545
4.356966862497739,4.351705589992141,4.384347837230433
4.356692800324725,4.3515584618782075,4.3845858385912075
4.356702897352153,4.351494994848668,4.384647141972013
4.356480762748763,4.35163130471893,4.384591608321166
4.356526199372184,4.351611110664076,4.384461068180863
4.35666467289118,4.351489946334954,4.384719984812736
4.356629333295186,4.351577213500573,4.384506504804284
4.356627890862696,4.351671692828637,4.384462510613352
4.3567375157319015,4.351609668231586,4.384476213722003
4.356843534519883,4.3516760201261055,4.3844668379108205
4.356793770598994,4.351670250396147,4.384436546828541
4.356745449110594,4.351761123642988,4.384395437502589
4.356940898712926,4.351758238778009,4.3845180442642
4.356819013167561,4.351801511752695,4.38443943169352
4.356909165198157,4.351784923779066,4.384343509932965
4.356827667762498,4.351764008507967,4.384507947236773
4.356924310739297,4.351892384999536,4.384562759671375
4.356887528710813,4.351877960674641,4.38436226155533
4.35679016451777,4.351837572564934,4.384399764800058
4.35686877708845,4.351877960674641,4.384367310069043
4.3569062803331775,4.35191257905439,4.384313218850685
4.356808916140134,4.35189599108076,4.3843911102051205
4.356899068170731,4.351913300270635,4.38436226155533
4.356888249927058,4.351958736894055,4.384300236958279
4.356806031275155,4.351968833921482,4.384436546828541
4.356872383169674,4.351939264055447,4.384300958174524
4.3569062803331775,4.352071967844484,4.384251915469879
4.356860843709757,4.351932051892999,4.384448807504702
4.356849304249841,4.351969555137727,4.384319709796888
4.356901231819465,4.35197460365144,4.384321873445622
4.3569308016855,4.352026531221064,4.384167533169242
4.356847140601107,4.351953688380341,4.384324758310601
4.356846419384862,4.35205321622212,4.384228836550047
4.35700941425618,4.352032300951022,4.384236769928739
4.356963256416515,4.3520409555459585,4.3842490306049005
4.356939456280437,4.3520849497368905,4.384306006688237
4.35677213411165,4.351987585543846,4.384375243447735
4.356919262225584,4.352044561627183,4.3842735519572225
4.356919983441829,4.352037349464735,4.384304564255748
4.356849304249841,4.352022925139839,4.38421873952262
4.356852910331065,4.352032300951022,4.384116326815863
4.356911328846891,4.351917627568103,4.384390388988876
4.356898346954486,4.35191402148688,4.384051417353834
4.356837043573679,4.351978209732664,4.383755718693478
4.356845698168617,4.35189599108076,4.383711003286302
4.35686733465596,4.351963064191524,4.383791779505716
4.356985614120102,4.351987585543846,4.38420215154899
4.357217124534674,4.352125337846597,4.384212248576417
4.357099566286776,4.351981815813888,4.384450249937191
4.356940177496682,4.35210009527803,4.384306727904482
4.356938013847948,4.352071967844484,4.384339182635497
4.356898346954486,4.35206691933077,4.384489195614409
4.35699571114753,4.352128222711576,4.384241818442453
4.3570260022298095,4.3521339924415345,4.384170418034221
4.357002202093732,4.352165725956304,4.384209363711438
4.35573791001665,4.351132944293793,4.384867834142913
4.35470368592165,4.349079641644933,4.385784499990016
4.358390543364915,4.3504751950785625,4.383221297456103
4.375258348897598,4.364303795355784,4.3762997851550445
4.37906276458876,4.36685834329476,4.379362069330338
4.366706166667114,4.359229317857582,4.384963755903468
4.360194305193085,4.354004827380468,4.385054629150308
4.358482859044245,4.352859535983773,4.384464674262087
4.357010856688669,4.351839736213668,4.384538238319053
4.356956044254067,4.351809445131387,4.384492801695632
4.356875268034653,4.351692608099735,4.384523092777914
4.356922147090563,4.351624813772727,4.384678154270539
4.356774297760385,4.351714244587078,4.384567808185089
4.357089469259349,4.3517019839109174,4.384553383860194
4.356989220201327,4.351668807963658,4.384684645216741
4.356975517092676,4.351627698637706,4.384614687240999
4.357128414936567,4.351665923098679,4.384762536571177
4.35708514196188,4.351578655933062,4.3846572389994405
4.35726183994185,4.351658710936231,4.384763979003666
4.357372907243544,4.351621207691503,4.384980343877097
4.357539508196086,4.351635632016399,4.385197429966773
4.357742169960867,4.351648613908804,4.385412352407715
4.357949159023115,4.351720735533281,4.385374849162987
4.358212402952457,4.351883009188354,4.385102950638708
4.358275148765751,4.351844063511137,4.385245030238928
4.358433816339601,4.352053937438365,4.384895961576459
4.358600417292143,4.352102980143009,4.384661566296909
4.35854560485754,4.352317181367706,4.384269224659754
4.358221057547394,4.3523034782590555,4.3841026237072125
4.357970074294213,4.352290496366649,4.383961265323237
4.357618841983011,4.352132550009045,4.383968477485685
4.357289246159151,4.35219529582234,4.383866064778927
4.357113269395427,4.352180871497444,4.383792500721961
4.357059178177069,4.3521094710892125,4.3839843442430695
4.356938013847948,4.3520409555459585,4.383823513020486
4.3569041166844436,4.352026531221064,4.3839583804582585
4.357064226690783,4.352215489877193,4.383709560853813
4.357172409127498,4.352173659334997,4.383729033692421
