I,II,V1
6075321.0,6074371.0,6041773.0
6074988.0,6074240.0,6041552.0
6074951.0,6074521.0,6041238.0
6074321.0,6074049.0,6041651.0
6073831.0,6073980.0,6042025.0
6072916.0,6073771.0,6042221.0
6073318.0,6074032.0,6041808.0
6072870.0,6074188.0,6041770.0
6073232.0,6074388.0,6041783.0
6072839.0,6074258.0,6041433.0
6072821.0,6074021.0,6041558.0
6073065.0,6074064.0,6041804.0
6072779.0,6073998.0,6041722.0
6072857.0,6073778.0,6041882.0
6072978.0,6073788.0,6041724.0
6072978.0,6073831.0,6041932.0
6073078.0,6073794.0,6041881.0
6073202.0,6074010.0,6041856.0
6072814.0,6073983.0,6041977.0
6072814.0,6073977.0,6041932.0
6072965.0,6074085.0,6042093.0
6072775.0,6073927.0,6042069.0
6072861.0,6074154.0,6041760.0
6072786.0,6074079.0,6041356.0
6072503.0,6073904.0,6041927.0
6072733.0,6074277.0,6041417.0
6072729.0,6074090.0,6041236.0
6072457.0,6074166.0,6041670.0
6072719.0,6074208.0,6041596.0
6072465.0,6074172.0,6041746.0
6072341.0,6074048.0,6041534.0
6072769.0,6074304.0,6041500.0
6072226.0,6074062.0,6041163.0
6072306.0,6074048.0,6041353.0
6073221.0,6074839.0,6041534.0
6072677.0,6074866.0,6041241.0
6072480.0,6074584.0,6041240.0
6073030.0,6074857.0,6040991.0
6072591.0,6074950.0,6040869.0
6072484.0,6074915.0,6041128.0
6072277.0,6075054.0,6041042.0
6072343.0,6074831.0,6041280.0
6070264.0,6073052.0,6042313.0
6068294.0,6070688.0,6043472.0
6071441.0,6071417.0,6043631.0
6087798.0,6083396.0,6033761.0
6103145.0,6096553.0,6030852.0
6095186.0,6090367.0,6038460.0
6080183.0,6080617.0,6043212.0
6075681.0,6076732.0,6042373.0
6073167.0,6075328.0,6041886.0
6072502.0,6074632.0,6042152.0
6072578.0,6074540.0,6041666.0
6072078.0,6073684.0,6041882.0
6072416.0,6074087.0,6041309.0
6071727.0,6073705.0,6040682.0
6072314.0,6074155.0,6041243.0
6072230.0,6073894.0,6041126.0
6072163.0,6074277.0,6040938.0
6071762.0,6074051.0,6041308.0
6071887.0,6073568.0,6041606.0
6072116.0,6073578.0,6041429.0
6072097.0,6074140.0,6041342.0
6072362.0,6073821.0,6041345.0
6072925.0,6073856.0,6040988.0
6072590.0,6073894.0,6041912.0
6073752.0,6074125.0,6041724.0
6074642.0,6074495.0,6041053.0
6074462.0,6074510.0,6040694.0
6074717.0,6074802.0,6040443.0
6074493.0,6075001.0,6040764.0
6074462.0,6075286.0,6040522.0
6073897.0,6075165.0,6041073.0
6073190.0,6074980.0,6041640.0
6073000.0,6074871.0,6041750.0
6072908.0,6074754.0,6042182.0
6072494.0,6074794.0,6042020.0
6072671.0,6074863.0,6042293.0
6072351.0,6074505.0,6042279.0
6072308.0,6074257.0,6042320.0
